,05J01,06J03,06J02,408,1031,1032,1033,basinwide_average
1933-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-03-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-05-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-03-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-05-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-03-01,-999.0,29.0,9.7,-999.0,-999.0,-999.0,-999.0,1.1552879421035438
1936-04-01,-999.0,32.3,13.9,-999.0,-999.0,-999.0,-999.0,1.4467770289295094
1936-05-01,29.0,32.3,13.9,-999.0,-999.0,-999.0,-999.0,1.2999606266211698
1936-06-01,29.0,32.3,13.9,-999.0,-999.0,-999.0,-999.0,1.2999606266211698
1936-07-01,29.0,32.3,13.9,-999.0,-999.0,-999.0,-999.0,1.2999606266211698
1936-08-01,29.0,32.3,13.9,-999.0,-999.0,-999.0,-999.0,1.2999606266211698
1936-09-01,29.0,32.3,13.9,-999.0,-999.0,-999.0,-999.0,1.2999606266211698
1936-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1936-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1936-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1937-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1937-02-01,0.0,9.1,4.4,-999.0,-999.0,-999.0,-999.0,0.2884106620092751
1937-03-01,12.5,15.0,8.5,-999.0,-999.0,-999.0,-999.0,0.6629651110940714
1937-04-01,16.1,18.4,10.0,-999.0,-999.0,-999.0,-999.0,0.8074039138565405
1937-05-01,22.6,18.4,10.0,-999.0,-999.0,-999.0,-999.0,0.8825893258453817
1937-06-01,22.6,18.4,10.0,-999.0,-999.0,-999.0,-999.0,0.8825893258453817
1937-07-01,22.6,18.4,10.0,-999.0,-999.0,-999.0,-999.0,0.8825893258453817
1937-08-01,22.6,18.4,10.0,-999.0,-999.0,-999.0,-999.0,0.8825893258453817
1937-09-01,22.6,18.4,10.0,-999.0,-999.0,-999.0,-999.0,0.8825893258453817
1937-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1937-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1937-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1938-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1938-02-01,0.0,15.0,7.6,-999.0,-999.0,-999.0,-999.0,0.48736720026603714
1938-03-01,25.5,18.4,8.7,-999.0,-999.0,-999.0,-999.0,0.8713405264629297
1938-04-01,32.2,23.1,13.1,-999.0,-999.0,-999.0,-999.0,1.1711033077404531
1938-05-01,33.4,23.1,13.1,-999.0,-999.0,-999.0,-999.0,1.1849836914922394
1938-06-01,33.4,23.1,13.1,-999.0,-999.0,-999.0,-999.0,1.1849836914922394
1938-07-01,33.4,23.1,13.1,-999.0,-999.0,-999.0,-999.0,1.1849836914922394
1938-08-01,33.4,23.1,13.1,-999.0,-999.0,-999.0,-999.0,1.1849836914922394
1938-09-01,33.4,23.1,13.1,-999.0,-999.0,-999.0,-999.0,1.1849836914922394
1938-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1938-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1938-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1939-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1939-02-01,13.1,16.6,7.3,-999.0,-999.0,-999.0,-999.0,0.6526112046856957
1939-03-01,17.7,20.8,10.2,-999.0,-999.0,-999.0,-999.0,0.8688823449442135
1939-04-01,22.8,22.2,13.6,-999.0,-999.0,-999.0,-999.0,1.0660717302874236
1939-05-01,27.2,22.2,13.6,-999.0,-999.0,-999.0,-999.0,1.1169664707106393
1939-06-01,27.2,22.2,13.6,-999.0,-999.0,-999.0,-999.0,1.1169664707106393
1939-07-01,27.2,22.2,13.6,-999.0,-999.0,-999.0,-999.0,1.1169664707106393
1939-08-01,27.2,22.2,13.6,-999.0,-999.0,-999.0,-999.0,1.1169664707106393
1939-09-01,27.2,22.2,13.6,-999.0,-999.0,-999.0,-999.0,1.1169664707106393
1939-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1939-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1939-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1940-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1940-02-01,10.0,9.9,2.1,-999.0,-999.0,-999.0,-999.0,0.33685793731375074
1940-03-01,16.3,15.5,4.1,-999.0,-999.0,-999.0,-999.0,0.5628290485686075
1940-04-01,17.8,17.9,9.8,-999.0,-999.0,-999.0,-999.0,0.8126598815007925
1940-05-01,23.7,18.2,9.8,-999.0,-999.0,-999.0,-999.0,0.8854151032055061
1940-06-01,23.7,18.2,9.8,-999.0,-999.0,-999.0,-999.0,0.8854151032055061
1940-07-01,23.7,18.2,9.8,-999.0,-999.0,-999.0,-999.0,0.8854151032055061
1940-08-01,23.7,18.2,9.8,-999.0,-999.0,-999.0,-999.0,0.8854151032055061
1940-09-01,23.7,18.2,9.8,-999.0,-999.0,-999.0,-999.0,0.8854151032055061
1940-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1940-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1940-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1941-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1941-02-01,9.8,9.1,3.5,-999.0,-999.0,-999.0,-999.0,0.3707565492352654
1941-03-01,14.5,12.3,5.5,-999.0,-999.0,-999.0,-999.0,0.5421404694202853
1941-04-01,18.6,16.3,7.7,-999.0,-999.0,-999.0,-999.0,0.7255021086586222
1941-05-01,23.3,18.0,13.4,-999.0,-999.0,-999.0,-999.0,1.0018239612147846
1941-06-01,23.3,18.0,13.4,-999.0,-999.0,-999.0,-999.0,1.0018239612147846
1941-07-01,23.3,18.0,13.4,-999.0,-999.0,-999.0,-999.0,1.0018239612147846
1941-08-01,23.3,18.0,13.4,-999.0,-999.0,-999.0,-999.0,1.0018239612147846
1941-09-01,23.3,18.0,13.4,-999.0,-999.0,-999.0,-999.0,1.0018239612147846
1941-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1941-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1941-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1942-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1942-02-01,10.7,11.7,4.6,-999.0,-999.0,-999.0,-999.0,0.4581553376091694
1942-03-01,15.9,16.3,7.4,-999.0,-999.0,-999.0,-999.0,0.6839343851903493
1942-04-01,21.4,20.5,9.8,-999.0,-999.0,-999.0,-999.0,0.8933877132181164
1942-05-01,24.1,20.5,9.8,-999.0,-999.0,-999.0,-999.0,0.924618576659635
1942-06-01,24.1,20.5,9.8,-999.0,-999.0,-999.0,-999.0,0.924618576659635
1942-07-01,24.1,20.5,9.8,-999.0,-999.0,-999.0,-999.0,0.924618576659635
1942-08-01,24.1,20.5,9.8,-999.0,-999.0,-999.0,-999.0,0.924618576659635
1942-09-01,24.1,20.5,9.8,-999.0,-999.0,-999.0,-999.0,0.924618576659635
1942-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1942-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1942-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1943-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1943-02-01,14.2,17.2,3.0,-999.0,-999.0,-999.0,-999.0,0.5261932325915528
1943-03-01,18.2,20.0,6.4,-999.0,-999.0,-999.0,-999.0,0.7317056069238635
1943-04-01,24.0,26.5,7.0,-999.0,-999.0,-999.0,-999.0,0.9171845495992521
1943-05-01,24.0,26.5,7.0,-999.0,-999.0,-999.0,-999.0,0.9171845495992521
1943-06-01,24.0,26.5,7.0,-999.0,-999.0,-999.0,-999.0,0.9171845495992521
1943-07-01,24.0,26.5,7.0,-999.0,-999.0,-999.0,-999.0,0.9171845495992521
1943-08-01,24.0,26.5,7.0,-999.0,-999.0,-999.0,-999.0,0.9171845495992521
1943-09-01,24.0,26.5,7.0,-999.0,-999.0,-999.0,-999.0,0.9171845495992521
1943-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1943-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1943-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1944-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1944-02-01,8.2,7.2,2.7,-999.0,-999.0,-999.0,-999.0,0.29612106741369265
1944-03-01,12.5,9.5,5.1,-999.0,-999.0,-999.0,-999.0,0.4631306682751603
1944-04-01,18.4,16.6,7.5,-999.0,-999.0,-999.0,-999.0,0.7208074729405869
1944-05-01,21.7,20.1,7.5,-999.0,-999.0,-999.0,-999.0,0.8115952134952602
1944-06-01,21.7,20.1,7.5,-999.0,-999.0,-999.0,-999.0,0.8115952134952602
1944-07-01,21.7,20.1,7.5,-999.0,-999.0,-999.0,-999.0,0.8115952134952602
1944-08-01,21.7,20.1,7.5,-999.0,-999.0,-999.0,-999.0,0.8115952134952602
1944-09-01,21.7,20.1,7.5,-999.0,-999.0,-999.0,-999.0,0.8115952134952602
1944-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1944-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1944-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1945-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1945-02-01,10.2,10.8,3.1,-999.0,-999.0,-999.0,-999.0,0.38715753947019166
1945-03-01,15.3,17.6,6.6,-999.0,-999.0,-999.0,-999.0,0.6689725734740946
1945-04-01,21.2,22.7,8.0,-999.0,-999.0,-999.0,-999.0,0.8621265007719052
1945-05-01,25.6,25.5,9.5,-999.0,-999.0,-999.0,-999.0,1.0067988895187012
1945-06-01,25.6,25.5,9.5,-999.0,-999.0,-999.0,-999.0,1.0067988895187012
1945-07-01,25.6,25.5,9.5,-999.0,-999.0,-999.0,-999.0,1.0067988895187012
1945-08-01,25.6,25.5,9.5,-999.0,-999.0,-999.0,-999.0,1.0067988895187012
1945-09-01,25.6,25.5,9.5,-999.0,-999.0,-999.0,-999.0,1.0067988895187012
1945-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1945-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1945-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1946-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1946-02-01,14.5,16.2,9.2,-999.0,-999.0,-999.0,-999.0,0.7282584304432024
1946-03-01,20.4,20.9,9.2,-999.0,-999.0,-999.0,-999.0,0.8671603421604731
1946-04-01,23.8,21.5,9.2,-999.0,-999.0,-999.0,-999.0,0.9155080993073975
1946-05-01,23.8,21.5,9.2,-999.0,-999.0,-999.0,-999.0,0.9155080993073975
1946-06-01,23.8,21.5,9.2,-999.0,-999.0,-999.0,-999.0,0.9155080993073975
1946-07-01,23.8,21.5,9.2,-999.0,-999.0,-999.0,-999.0,0.9155080993073975
1946-08-01,23.8,21.5,9.2,-999.0,-999.0,-999.0,-999.0,0.9155080993073975
1946-09-01,23.8,21.5,9.2,-999.0,-999.0,-999.0,-999.0,0.9155080993073975
1946-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1946-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1946-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1947-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1947-02-01,16.9,10.9,6.5,-999.0,-999.0,-999.0,-999.0,0.5833107629181336
1947-03-01,18.4,17.8,8.9,-999.0,-999.0,-999.0,-999.0,0.787086159432501
1947-04-01,25.7,22.6,11.1,-999.0,-999.0,-999.0,-999.0,1.0194888262536417
1947-05-01,28.6,22.6,11.1,-999.0,-999.0,-999.0,-999.0,1.053033086987125
1947-06-01,28.6,22.6,11.1,-999.0,-999.0,-999.0,-999.0,1.053033086987125
1947-07-01,28.6,22.6,11.1,-999.0,-999.0,-999.0,-999.0,1.053033086987125
1947-08-01,28.6,22.6,11.1,-999.0,-999.0,-999.0,-999.0,1.053033086987125
1947-09-01,28.6,22.6,11.1,-999.0,-999.0,-999.0,-999.0,1.053033086987125
1947-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1947-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1947-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1948-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1948-02-01,14.7,15.8,4.5,-999.0,-999.0,-999.0,-999.0,0.5626143518603303
1948-03-01,15.5,18.0,7.1,-999.0,-999.0,-999.0,-999.0,0.6945274062663361
1948-04-01,24.8,25.2,10.0,-999.0,-999.0,-999.0,-999.0,1.010263398803669
1948-05-01,24.8,25.2,10.0,-999.0,-999.0,-999.0,-999.0,1.010263398803669
1948-06-01,24.8,25.2,10.0,-999.0,-999.0,-999.0,-999.0,1.010263398803669
1948-07-01,24.8,25.2,10.0,-999.0,-999.0,-999.0,-999.0,1.010263398803669
1948-08-01,24.8,25.2,10.0,-999.0,-999.0,-999.0,-999.0,1.010263398803669
1948-09-01,24.8,25.2,10.0,-999.0,-999.0,-999.0,-999.0,1.010263398803669
1948-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1948-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1948-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1949-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1949-02-01,18.0,19.6,8.6,-999.0,-999.0,-999.0,-999.0,0.7991825143724097
1949-03-01,24.8,19.8,11.8,-999.0,-999.0,-999.0,-999.0,0.9911045303124194
1949-04-01,31.6,28.9,14.6,-999.0,-999.0,-999.0,-999.0,1.3030407801057933
1949-05-01,31.6,28.9,14.6,-999.0,-999.0,-999.0,-999.0,1.3030407801057933
1949-06-01,31.6,28.9,14.6,-999.0,-999.0,-999.0,-999.0,1.3030407801057933
1949-07-01,31.6,28.9,14.6,-999.0,-999.0,-999.0,-999.0,1.3030407801057933
1949-08-01,31.6,28.9,14.6,-999.0,-999.0,-999.0,-999.0,1.3030407801057933
1949-09-01,31.6,28.9,14.6,-999.0,-999.0,-999.0,-999.0,1.3030407801057933
1949-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1949-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1949-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1950-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1950-02-01,15.1,11.0,6.1,-999.0,-999.0,-999.0,-999.0,0.5502110411187039
1950-03-01,19.1,15.1,7.8,-999.0,-999.0,-999.0,-999.0,0.7166912155303901
1950-04-01,21.3,24.3,12.5,-999.0,-999.0,-999.0,-999.0,1.042389441641949
1950-05-01,28.4,24.3,12.5,-999.0,-999.0,-999.0,-999.0,1.1245150455066832
1950-06-01,28.4,24.3,12.5,-999.0,-999.0,-999.0,-999.0,1.1245150455066832
1950-07-01,28.4,24.3,12.5,-999.0,-999.0,-999.0,-999.0,1.1245150455066832
1950-08-01,28.4,24.3,12.5,-999.0,-999.0,-999.0,-999.0,1.1245150455066832
1950-09-01,28.4,24.3,12.5,-999.0,-999.0,-999.0,-999.0,1.1245150455066832
1950-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1950-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1950-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1951-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1951-02-01,15.1,20.9,5.7,-999.0,-999.0,-999.0,-999.0,0.6852586136112854
1951-03-01,17.5,25.8,6.3,-999.0,-999.0,-999.0,-999.0,0.807356460500532
1951-04-01,27.0,29.7,8.7,-999.0,-999.0,-999.0,-999.0,1.0585677327758207
1951-05-01,27.0,29.7,8.9,-999.0,-999.0,-999.0,-999.0,1.065458972793657
1951-06-01,27.0,29.7,8.9,-999.0,-999.0,-999.0,-999.0,1.065458972793657
1951-07-01,27.0,29.7,8.9,-999.0,-999.0,-999.0,-999.0,1.065458972793657
1951-08-01,27.0,29.7,8.9,-999.0,-999.0,-999.0,-999.0,1.065458972793657
1951-09-01,27.0,29.7,8.9,-999.0,-999.0,-999.0,-999.0,1.065458972793657
1951-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1951-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1951-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1952-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1952-02-01,18.5,23.2,11.5,-999.0,-999.0,-999.0,-999.0,0.9590090069621281
1952-03-01,25.2,27.7,14.2,-999.0,-999.0,-999.0,-999.0,1.1971895803602006
1952-04-01,29.7,33.4,16.9,-999.0,-999.0,-999.0,-999.0,1.4279627899137264
1952-05-01,29.8,33.4,16.9,-999.0,-999.0,-999.0,-999.0,1.429119488559709
1952-06-01,29.8,33.4,16.9,-999.0,-999.0,-999.0,-999.0,1.429119488559709
1952-07-01,29.8,33.4,16.9,-999.0,-999.0,-999.0,-999.0,1.429119488559709
1952-08-01,29.8,33.4,16.9,-999.0,-999.0,-999.0,-999.0,1.429119488559709
1952-09-01,29.8,33.4,16.9,-999.0,-999.0,-999.0,-999.0,1.429119488559709
1952-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1952-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1952-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1953-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1953-02-01,8.5,15.3,5.3,-999.0,-999.0,-999.0,-999.0,0.5109473265611714
1953-03-01,15.9,19.2,6.5,-999.0,-999.0,-999.0,-999.0,0.6965204871638176
1953-04-01,20.8,23.7,6.5,-999.0,-999.0,-999.0,-999.0,0.8208487446934232
1953-05-01,22.1,25.9,6.6,-999.0,-999.0,-999.0,-999.0,0.872404792106388
1953-06-01,22.1,25.9,6.6,-999.0,-999.0,-999.0,-999.0,0.872404792106388
1953-07-01,22.1,25.9,6.6,-999.0,-999.0,-999.0,-999.0,0.872404792106388
1953-08-01,22.1,25.9,6.6,-999.0,-999.0,-999.0,-999.0,0.872404792106388
1953-09-01,22.1,25.9,6.6,-999.0,-999.0,-999.0,-999.0,0.872404792106388
1953-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1953-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1953-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1954-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1954-02-01,8.9,8.9,3.8,-999.0,-999.0,-999.0,-999.0,0.3676764537203365
1954-03-01,11.7,11.1,4.9,-999.0,-999.0,-999.0,-999.0,0.4710391809122149
1954-04-01,25.1,15.0,7.1,-999.0,-999.0,-999.0,-999.0,0.7604704603629721
1954-05-01,25.1,15.0,7.1,-999.0,-999.0,-999.0,-999.0,0.7604704603629721
1954-06-01,25.1,15.0,7.1,-999.0,-999.0,-999.0,-999.0,0.7604704603629721
1954-07-01,25.1,15.0,7.1,-999.0,-999.0,-999.0,-999.0,0.7604704603629721
1954-08-01,25.1,15.0,7.1,-999.0,-999.0,-999.0,-999.0,0.7604704603629721
1954-09-01,25.1,15.0,7.1,-999.0,-999.0,-999.0,-999.0,0.7604704603629721
1954-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1954-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1954-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1955-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1955-02-01,9.7,13.9,3.3,-999.0,-999.0,-999.0,-999.0,0.4348686360396914
1955-03-01,13.0,20.7,5.1,-999.0,-999.0,-999.0,-999.0,0.6372875542643078
1955-04-01,19.3,22.3,7.7,-999.0,-999.0,-999.0,-999.0,0.8237990310158029
1955-05-01,19.3,22.3,7.7,-999.0,-999.0,-999.0,-999.0,0.8237990310158029
1955-06-01,19.3,22.3,7.7,-999.0,-999.0,-999.0,-999.0,0.8237990310158029
1955-07-01,19.3,22.3,7.7,-999.0,-999.0,-999.0,-999.0,0.8237990310158029
1955-08-01,19.3,22.3,7.7,-999.0,-999.0,-999.0,-999.0,0.8237990310158029
1955-09-01,19.3,22.3,7.7,-999.0,-999.0,-999.0,-999.0,0.8237990310158029
1955-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1955-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1955-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1956-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1956-02-01,18.0,21.1,6.0,-999.0,-999.0,-999.0,-999.0,0.7321464020993661
1956-03-01,24.2,27.4,9.7,-999.0,-999.0,-999.0,-999.0,1.0260596919073002
1956-04-01,30.5,27.9,9.7,-999.0,-999.0,-999.0,-999.0,1.1064483759237858
1956-05-01,38.9,27.9,9.7,-999.0,-999.0,-999.0,-999.0,1.2036110621862885
1956-06-01,38.9,27.9,9.7,-999.0,-999.0,-999.0,-999.0,1.2036110621862885
1956-07-01,38.9,27.9,9.7,-999.0,-999.0,-999.0,-999.0,1.2036110621862885
1956-08-01,38.9,27.9,9.7,-999.0,-999.0,-999.0,-999.0,1.2036110621862885
1956-09-01,38.9,27.9,9.7,-999.0,-999.0,-999.0,-999.0,1.2036110621862885
1956-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1956-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1956-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1957-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1957-02-01,12.8,18.1,7.8,-999.0,-999.0,-999.0,-999.0,0.6889192167511659
1957-03-01,19.0,23.9,9.3,-999.0,-999.0,-999.0,-999.0,0.8995121970432937
1957-04-01,29.7,30.1,11.8,-999.0,-999.0,-999.0,-999.0,1.202626151949487
1957-05-01,36.1,30.1,11.8,-999.0,-999.0,-999.0,-999.0,1.276654865292346
1957-06-01,39.4,30.1,11.8,-999.0,-999.0,-999.0,-999.0,1.314825920609758
1957-07-01,39.4,30.1,11.8,-999.0,-999.0,-999.0,-999.0,1.314825920609758
1957-08-01,39.4,30.1,11.8,-999.0,-999.0,-999.0,-999.0,1.314825920609758
1957-09-01,39.4,30.1,11.8,-999.0,-999.0,-999.0,-999.0,1.314825920609758
1957-10-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1957-11-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1957-12-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1958-01-01,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0
1958-02-01,13.2,14.9,3.7,-999.0,-999.0,-999.0,-999.0,0.5041689073239572
1958-03-01,18.0,21.8,5.2,-999.0,-999.0,-999.0,-999.0,0.715104779075474
1958-04-01,29.4,25.6,7.7,-999.0,-999.0,-999.0,-999.0,0.9902356117694202
1958-05-01,32.9,28.3,7.7,-999.0,-999.0,-999.0,-999.0,1.0713100787046839
1958-06-01,32.9,28.3,7.7,-999.0,-999.0,-999.0,-999.0,1.0713100787046839
