,07J01,378,717,827,basinwide_average
1944-10-01,0.0,-999.0,-999.0,-999.0,0.0
1944-11-01,0.0,-999.0,-999.0,-999.0,0.0
1944-12-01,0.0,-999.0,-999.0,-999.0,0.0
1945-01-01,0.0,-999.0,-999.0,-999.0,0.0
1945-02-01,6.6,-999.0,-999.0,-999.0,0.462642256308758
1945-03-01,9.2,-999.0,-999.0,-999.0,0.6448952663697838
1945-04-01,20.6,-999.0,-999.0,-999.0,1.4440046181758206
1945-05-01,20.6,-999.0,-999.0,-999.0,1.4440046181758206
1945-06-01,20.6,-999.0,-999.0,-999.0,1.4440046181758206
1945-07-01,20.6,-999.0,-999.0,-999.0,1.4440046181758206
1945-08-01,20.6,-999.0,-999.0,-999.0,1.4440046181758206
1945-09-01,20.6,-999.0,-999.0,-999.0,1.4440046181758206
1945-10-01,0.0,-999.0,-999.0,-999.0,0.0
1945-11-01,0.0,-999.0,-999.0,-999.0,0.0
1945-12-01,0.0,-999.0,-999.0,-999.0,0.0
1946-01-01,0.0,-999.0,-999.0,-999.0,0.0
1946-02-01,8.3,-999.0,-999.0,-999.0,0.5818076859640442
1946-03-01,10.4,-999.0,-999.0,-999.0,0.7290120402441035
1946-04-01,10.4,-999.0,-999.0,-999.0,0.7290120402441035
1946-05-01,10.4,-999.0,-999.0,-999.0,0.7290120402441035
1946-06-01,10.4,-999.0,-999.0,-999.0,0.7290120402441035
1946-07-01,10.4,-999.0,-999.0,-999.0,0.7290120402441035
1946-08-01,10.4,-999.0,-999.0,-999.0,0.7290120402441035
1946-09-01,10.4,-999.0,-999.0,-999.0,0.7290120402441035
1946-10-01,0.0,-999.0,-999.0,-999.0,0.0
1946-11-01,0.0,-999.0,-999.0,-999.0,0.0
1946-12-01,0.0,-999.0,-999.0,-999.0,0.0
1947-01-01,0.0,-999.0,-999.0,-999.0,0.0
1947-02-01,10.2,-999.0,-999.0,-999.0,0.7149925779317169
1947-03-01,14.2,-999.0,-999.0,-999.0,0.995381824179449
1947-04-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1947-05-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1947-06-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1947-07-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1947-08-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1947-09-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1947-10-01,0.0,-999.0,-999.0,-999.0,0.0
1947-11-01,0.0,-999.0,-999.0,-999.0,0.0
1947-12-01,0.0,-999.0,-999.0,-999.0,0.0
1948-01-01,0.0,-999.0,-999.0,-999.0,0.0
1948-02-01,0.0,-999.0,-999.0,-999.0,0.0
1948-03-01,11.0,-999.0,-999.0,-999.0,0.7710704271812633
1948-04-01,16.9,-999.0,-999.0,-999.0,1.1846445653966682
1948-05-01,16.9,-999.0,-999.0,-999.0,1.1846445653966682
1948-06-01,16.9,-999.0,-999.0,-999.0,1.1846445653966682
1948-07-01,16.9,-999.0,-999.0,-999.0,1.1846445653966682
1948-08-01,16.9,-999.0,-999.0,-999.0,1.1846445653966682
1948-09-01,16.9,-999.0,-999.0,-999.0,1.1846445653966682
1948-10-01,0.0,-999.0,-999.0,-999.0,0.0
1948-11-01,0.0,-999.0,-999.0,-999.0,0.0
1948-12-01,0.0,-999.0,-999.0,-999.0,0.0
1949-01-01,0.0,-999.0,-999.0,-999.0,0.0
1949-02-01,14.4,-999.0,-999.0,-999.0,1.0094012864918356
1949-03-01,17.1,-999.0,-999.0,-999.0,1.198664027709055
1949-04-01,22.5,-999.0,-999.0,-999.0,1.5771895101434932
1949-05-01,22.5,-999.0,-999.0,-999.0,1.5771895101434932
1949-06-01,22.5,-999.0,-999.0,-999.0,1.5771895101434932
1949-07-01,22.5,-999.0,-999.0,-999.0,1.5771895101434932
1949-08-01,22.5,-999.0,-999.0,-999.0,1.5771895101434932
1949-09-01,22.5,-999.0,-999.0,-999.0,1.5771895101434932
1949-10-01,0.0,-999.0,-999.0,-999.0,0.0
1949-11-01,0.0,-999.0,-999.0,-999.0,0.0
1949-12-01,0.0,-999.0,-999.0,-999.0,0.0
1950-01-01,0.0,-999.0,-999.0,-999.0,0.0
1950-02-01,6.1,-999.0,-999.0,-999.0,0.42759360052779144
1950-03-01,10.2,-999.0,-999.0,-999.0,0.7149925779317169
1950-04-01,14.2,-999.0,-999.0,-999.0,0.995381824179449
1950-05-01,14.2,-999.0,-999.0,-999.0,0.995381824179449
1950-06-01,14.2,-999.0,-999.0,-999.0,0.995381824179449
1950-07-01,14.2,-999.0,-999.0,-999.0,0.995381824179449
1950-08-01,14.2,-999.0,-999.0,-999.0,0.995381824179449
1950-09-01,14.2,-999.0,-999.0,-999.0,0.995381824179449
1950-10-01,0.0,-999.0,-999.0,-999.0,0.0
1950-11-01,0.0,-999.0,-999.0,-999.0,0.0
1950-12-01,0.0,-999.0,-999.0,-999.0,0.0
1951-01-01,0.0,-999.0,-999.0,-999.0,0.0
1951-02-01,12.7,-999.0,-999.0,-999.0,0.8902358568365494
1951-03-01,16.1,-999.0,-999.0,-999.0,1.1285667161471218
1951-04-01,16.5,-999.0,-999.0,-999.0,1.156605640771895
1951-05-01,16.5,-999.0,-999.0,-999.0,1.156605640771895
1951-06-01,16.5,-999.0,-999.0,-999.0,1.156605640771895
1951-07-01,16.5,-999.0,-999.0,-999.0,1.156605640771895
1951-08-01,16.5,-999.0,-999.0,-999.0,1.156605640771895
1951-09-01,16.5,-999.0,-999.0,-999.0,1.156605640771895
1951-10-01,0.0,-999.0,-999.0,-999.0,0.0
1951-11-01,0.0,-999.0,-999.0,-999.0,0.0
1951-12-01,0.0,-999.0,-999.0,-999.0,0.0
1952-01-01,0.0,-999.0,-999.0,-999.0,0.0
1952-02-01,10.8,-999.0,-999.0,-999.0,0.7570509648688768
1952-03-01,16.9,-999.0,-999.0,-999.0,1.1846445653966682
1952-04-01,23.0,-999.0,-999.0,-999.0,1.6122381659244596
1952-05-01,23.0,-999.0,-999.0,-999.0,1.6122381659244596
1952-06-01,23.0,-999.0,-999.0,-999.0,1.6122381659244596
1952-07-01,23.0,-999.0,-999.0,-999.0,1.6122381659244596
1952-08-01,23.0,-999.0,-999.0,-999.0,1.6122381659244596
1952-09-01,23.0,-999.0,-999.0,-999.0,1.6122381659244596
1952-10-01,0.0,-999.0,-999.0,-999.0,0.0
1952-11-01,0.0,-999.0,-999.0,-999.0,0.0
1952-12-01,0.0,-999.0,-999.0,-999.0,0.0
1953-01-01,0.0,-999.0,-999.0,-999.0,0.0
1953-02-01,9.6,-999.0,-999.0,-999.0,0.6729341909945571
1953-03-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1953-04-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1953-05-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1953-06-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1953-07-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1953-08-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1953-09-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1953-10-01,0.0,-999.0,-999.0,-999.0,0.0
1953-11-01,0.0,-999.0,-999.0,-999.0,0.0
1953-12-01,0.0,-999.0,-999.0,-999.0,0.0
1954-01-01,0.0,-999.0,-999.0,-999.0,0.0
1954-02-01,5.6,-999.0,-999.0,-999.0,0.39254494474682494
1954-03-01,6.2,-999.0,-999.0,-999.0,0.4346033316839848
1954-04-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1954-05-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1954-06-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1954-07-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1954-08-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1954-09-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1954-10-01,0.0,-999.0,-999.0,-999.0,0.0
1954-11-01,0.0,-999.0,-999.0,-999.0,0.0
1954-12-01,0.0,-999.0,-999.0,-999.0,0.0
1955-01-01,0.0,-999.0,-999.0,-999.0,0.0
1955-02-01,8.6,-999.0,-999.0,-999.0,0.602836879432624
1955-03-01,11.5,-999.0,-999.0,-999.0,0.8061190829622298
1955-04-01,16.3,-999.0,-999.0,-999.0,1.1425861784595084
1955-05-01,16.3,-999.0,-999.0,-999.0,1.1425861784595084
1955-06-01,16.3,-999.0,-999.0,-999.0,1.1425861784595084
1955-07-01,16.3,-999.0,-999.0,-999.0,1.1425861784595084
1955-08-01,16.3,-999.0,-999.0,-999.0,1.1425861784595084
1955-09-01,16.3,-999.0,-999.0,-999.0,1.1425861784595084
1955-10-01,0.0,-999.0,-999.0,-999.0,0.0
1955-11-01,0.0,-999.0,-999.0,-999.0,0.0
1955-12-01,0.0,-999.0,-999.0,-999.0,0.0
1956-01-01,0.0,-999.0,-999.0,-999.0,0.0
1956-02-01,14.2,-999.0,-999.0,-999.0,0.995381824179449
1956-03-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1956-04-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1956-05-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1956-06-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1956-07-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1956-08-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1956-09-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1956-10-01,0.0,-999.0,-999.0,-999.0,0.0
1956-11-01,0.0,-999.0,-999.0,-999.0,0.0
1956-12-01,0.0,-999.0,-999.0,-999.0,0.0
1957-01-01,0.0,-999.0,-999.0,-999.0,0.0
1957-02-01,16.3,-999.0,-999.0,-999.0,1.1425861784595084
1957-03-01,20.3,-999.0,-999.0,-999.0,1.4229754247072406
1957-04-01,24.1,-999.0,-999.0,-999.0,1.6893452086425862
1957-05-01,24.1,-999.0,-999.0,-999.0,1.6893452086425862
1957-06-01,24.1,-999.0,-999.0,-999.0,1.6893452086425862
1957-07-01,24.1,-999.0,-999.0,-999.0,1.6893452086425862
1957-08-01,24.1,-999.0,-999.0,-999.0,1.6893452086425862
1957-09-01,24.1,-999.0,-999.0,-999.0,1.6893452086425862
1957-10-01,0.0,-999.0,-999.0,-999.0,0.0
1957-11-01,0.0,-999.0,-999.0,-999.0,0.0
1957-12-01,0.0,-999.0,-999.0,-999.0,0.0
1958-01-01,0.0,-999.0,-999.0,-999.0,0.0
1958-02-01,10.0,-999.0,-999.0,-999.0,0.7009731156193303
1958-03-01,14.3,-999.0,-999.0,-999.0,1.0023915553356424
1958-04-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1958-05-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1958-06-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1958-07-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1958-08-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1958-09-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1958-10-01,0.0,-999.0,-999.0,-999.0,0.0
1958-11-01,0.0,-999.0,-999.0,-999.0,0.0
1958-12-01,0.0,-999.0,-999.0,-999.0,0.0
1959-01-01,0.0,-999.0,-999.0,-999.0,0.0
1959-02-01,8.4,-999.0,-999.0,-999.0,0.5888174171202375
1959-03-01,14.4,-999.0,-999.0,-999.0,1.0094012864918356
1959-04-01,17.9,-999.0,-999.0,-999.0,1.2547418769586012
1959-05-01,17.9,-999.0,-999.0,-999.0,1.2547418769586012
1959-06-01,17.9,-999.0,-999.0,-999.0,1.2547418769586012
1959-07-01,17.9,-999.0,-999.0,-999.0,1.2547418769586012
1959-08-01,17.9,-999.0,-999.0,-999.0,1.2547418769586012
1959-09-01,17.9,-999.0,-999.0,-999.0,1.2547418769586012
1959-10-01,0.0,-999.0,-999.0,-999.0,0.0
1959-11-01,0.0,-999.0,-999.0,-999.0,0.0
1959-12-01,0.0,-999.0,-999.0,-999.0,0.0
1960-01-01,0.0,-999.0,-999.0,-999.0,0.0
1960-02-01,5.0,-999.0,-999.0,-999.0,0.35048655780966514
1960-03-01,13.1,-999.0,-999.0,-999.0,0.9182747814613227
1960-04-01,17.4,-999.0,-999.0,-999.0,1.2196932211776346
1960-05-01,17.4,-999.0,-999.0,-999.0,1.2196932211776346
1960-06-01,17.4,-999.0,-999.0,-999.0,1.2196932211776346
1960-07-01,17.4,-999.0,-999.0,-999.0,1.2196932211776346
1960-08-01,17.4,-999.0,-999.0,-999.0,1.2196932211776346
1960-09-01,17.4,-999.0,-999.0,-999.0,1.2196932211776346
1960-10-01,0.0,-999.0,-999.0,-999.0,0.0
1960-11-01,0.0,-999.0,-999.0,-999.0,0.0
1960-12-01,0.0,-999.0,-999.0,-999.0,0.0
1961-01-01,0.0,-999.0,-999.0,-999.0,0.0
1961-02-01,5.2,-999.0,-999.0,-999.0,0.36450602012205174
1961-03-01,7.8,-999.0,-999.0,-999.0,0.5467590301830776
1961-04-01,11.8,-999.0,-999.0,-999.0,0.8271482764308098
1961-05-01,12.6,-999.0,-999.0,-999.0,0.8832261256803562
1961-06-01,12.6,-999.0,-999.0,-999.0,0.8832261256803562
1961-07-01,12.6,-999.0,-999.0,-999.0,0.8832261256803562
1961-08-01,12.6,-999.0,-999.0,-999.0,0.8832261256803562
1961-09-01,12.6,-999.0,-999.0,-999.0,0.8832261256803562
1961-10-01,0.0,-999.0,-999.0,-999.0,0.0
1961-11-01,0.0,-999.0,-999.0,-999.0,0.0
1961-12-01,0.0,-999.0,-999.0,-999.0,0.0
1962-01-01,0.0,-999.0,-999.0,-999.0,0.0
1962-02-01,11.6,-999.0,-999.0,-999.0,0.8131288141184231
1962-03-01,15.0,-999.0,-999.0,-999.0,1.0514596734289954
1962-04-01,17.8,-999.0,-999.0,-999.0,1.247732145802408
1962-05-01,17.8,-999.0,-999.0,-999.0,1.247732145802408
1962-06-01,17.8,-999.0,-999.0,-999.0,1.247732145802408
1962-07-01,17.8,-999.0,-999.0,-999.0,1.247732145802408
1962-08-01,17.8,-999.0,-999.0,-999.0,1.247732145802408
1962-09-01,17.8,-999.0,-999.0,-999.0,1.247732145802408
1962-10-01,0.0,-999.0,-999.0,-999.0,0.0
1962-11-01,0.0,-999.0,-999.0,-999.0,0.0
1962-12-01,0.0,-999.0,-999.0,-999.0,0.0
1963-01-01,0.0,-999.0,-999.0,-999.0,0.0
1963-02-01,4.0,-999.0,-999.0,-999.0,0.2803892462477321
1963-03-01,6.5,-999.0,-999.0,-999.0,0.4556325251525647
1963-04-01,10.7,-999.0,-999.0,-999.0,0.7500412337126834
1963-05-01,10.7,-999.0,-999.0,-999.0,0.7500412337126834
1963-06-01,10.7,-999.0,-999.0,-999.0,0.7500412337126834
1963-07-01,10.7,-999.0,-999.0,-999.0,0.7500412337126834
1963-08-01,10.7,-999.0,-999.0,-999.0,0.7500412337126834
1963-09-01,10.7,-999.0,-999.0,-999.0,0.7500412337126834
1963-10-01,0.0,-999.0,-999.0,-999.0,0.0
1963-11-01,0.0,-999.0,-999.0,-999.0,0.0
1963-12-01,0.0,-999.0,-999.0,-999.0,0.0
1964-01-01,0.0,-999.0,-999.0,-999.0,0.0
1964-02-01,7.2,-999.0,-999.0,-999.0,0.5047006432459178
1964-03-01,10.1,-999.0,-999.0,-999.0,0.7079828467755236
1964-04-01,15.5,-999.0,-999.0,-999.0,1.086508329209962
1964-05-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1964-06-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1964-07-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1964-08-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1964-09-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1964-10-01,0.0,-999.0,-999.0,-999.0,0.0
1964-11-01,0.0,-999.0,-999.0,-999.0,0.0
1964-12-01,0.0,-999.0,-999.0,-999.0,0.0
1965-01-01,0.0,-999.0,-999.0,-999.0,0.0
1965-02-01,14.4,-999.0,-999.0,-999.0,1.0094012864918356
1965-03-01,18.7,-999.0,-999.0,-999.0,1.3108197262081476
1965-04-01,22.9,-999.0,-999.0,-999.0,1.6052284347682662
1965-05-01,22.9,-999.0,-999.0,-999.0,1.6052284347682662
1965-06-01,22.9,-999.0,-999.0,-999.0,1.6052284347682662
1965-07-01,22.9,-999.0,-999.0,-999.0,1.6052284347682662
1965-08-01,22.9,-999.0,-999.0,-999.0,1.6052284347682662
1965-09-01,22.9,-999.0,-999.0,-999.0,1.6052284347682662
1965-10-01,0.0,-999.0,-999.0,-999.0,0.0
1965-11-01,0.0,-999.0,-999.0,-999.0,0.0
1965-12-01,0.0,-999.0,-999.0,-999.0,0.0
1966-01-01,0.0,-999.0,-999.0,-999.0,0.0
1966-02-01,5.8,-999.0,-999.0,-999.0,0.40656440705921154
1966-03-01,13.0,-999.0,-999.0,-999.0,0.9112650503051294
1966-04-01,13.0,-999.0,-999.0,-999.0,0.9112650503051294
1966-05-01,13.0,-999.0,-999.0,-999.0,0.9112650503051294
1966-06-01,13.0,-999.0,-999.0,-999.0,0.9112650503051294
1966-07-01,13.0,-999.0,-999.0,-999.0,0.9112650503051294
1966-08-01,13.0,-999.0,-999.0,-999.0,0.9112650503051294
1966-09-01,13.0,-999.0,-999.0,-999.0,0.9112650503051294
1966-10-01,0.0,-999.0,-999.0,-999.0,0.0
1966-11-01,0.0,-999.0,-999.0,-999.0,0.0
1966-12-01,0.0,-999.0,-999.0,-999.0,0.0
1967-01-01,0.0,-999.0,-999.0,-999.0,0.0
1967-02-01,7.9,-999.0,-999.0,-999.0,0.553768761339271
1967-03-01,11.8,-999.0,-999.0,-999.0,0.8271482764308098
1967-04-01,11.8,-999.0,-999.0,-999.0,0.8271482764308098
1967-05-01,11.8,-999.0,-999.0,-999.0,0.8271482764308098
1967-06-01,11.8,-999.0,-999.0,-999.0,0.8271482764308098
1967-07-01,11.8,-999.0,-999.0,-999.0,0.8271482764308098
1967-08-01,11.8,-999.0,-999.0,-999.0,0.8271482764308098
1967-09-01,11.8,-999.0,-999.0,-999.0,0.8271482764308098
1967-10-01,0.0,-999.0,-999.0,-999.0,0.0
1967-11-01,0.0,-999.0,-999.0,-999.0,0.0
1967-12-01,0.0,-999.0,-999.0,-999.0,0.0
1968-01-01,0.0,-999.0,-999.0,-999.0,0.0
1968-02-01,8.6,-999.0,-999.0,-999.0,0.602836879432624
1968-03-01,13.7,-999.0,-999.0,-999.0,0.9603331683984825
1968-04-01,15.6,-999.0,-999.0,-999.0,1.0935180603661552
1968-05-01,15.8,-999.0,-999.0,-999.0,1.107537522678542
1968-06-01,15.8,-999.0,-999.0,-999.0,1.107537522678542
1968-07-01,15.8,-999.0,-999.0,-999.0,1.107537522678542
1968-08-01,15.8,-999.0,-999.0,-999.0,1.107537522678542
1968-09-01,15.8,-999.0,-999.0,-999.0,1.107537522678542
1968-10-01,0.0,-999.0,-999.0,-999.0,0.0
1968-11-01,0.0,-999.0,-999.0,-999.0,0.0
1968-12-01,0.0,-999.0,-999.0,-999.0,0.0
1969-01-01,0.0,-999.0,-999.0,-999.0,0.0
1969-02-01,12.6,-999.0,-999.0,-999.0,0.8832261256803562
1969-03-01,15.2,-999.0,-999.0,-999.0,1.065479135741382
1969-04-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1969-05-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1969-06-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1969-07-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1969-08-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1969-09-01,16.4,-999.0,-999.0,-999.0,1.1495959096157016
1969-10-01,0.0,-999.0,-999.0,-999.0,0.0
1969-11-01,0.0,-999.0,-999.0,-999.0,0.0
1969-12-01,0.0,-999.0,-999.0,-999.0,0.0
1970-01-01,0.0,-999.0,-999.0,-999.0,0.0
1970-02-01,12.6,-999.0,-999.0,-999.0,0.8832261256803562
1970-03-01,14.9,-999.0,-999.0,-999.0,1.0444499422728022
1970-04-01,16.6,-999.0,-999.0,-999.0,1.1636153719280884
1970-05-01,17.0,-999.0,-999.0,-999.0,1.1916542965528616
1970-06-01,17.0,-999.0,-999.0,-999.0,1.1916542965528616
1970-07-01,17.0,-999.0,-999.0,-999.0,1.1916542965528616
1970-08-01,17.0,-999.0,-999.0,-999.0,1.1916542965528616
1970-09-01,17.0,-999.0,-999.0,-999.0,1.1916542965528616
1970-10-01,0.0,-999.0,-999.0,-999.0,0.0
1970-11-01,0.0,-999.0,-999.0,-999.0,0.0
1970-12-01,0.0,-999.0,-999.0,-999.0,0.0
1971-01-01,0.0,-999.0,-999.0,-999.0,0.0
1971-02-01,12.2,-999.0,-999.0,-999.0,0.8551872010555829
1971-03-01,15.6,-999.0,-999.0,-999.0,1.0935180603661552
1971-04-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1971-05-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1971-06-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1971-07-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1971-08-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1971-09-01,17.5,-999.0,-999.0,-999.0,1.226702952333828
1971-10-01,0.0,-999.0,-999.0,-999.0,0.0
1971-11-01,0.0,-999.0,-999.0,-999.0,0.0
1971-12-01,0.0,-999.0,-999.0,-999.0,0.0
1972-01-01,0.0,-999.0,-999.0,-999.0,0.0
1972-02-01,10.0,-999.0,-999.0,-999.0,0.7009731156193303
1972-03-01,12.0,-999.0,-999.0,-999.0,0.8411677387431964
1972-04-01,13.5,-999.0,-999.0,-999.0,0.9463137060860959
1972-05-01,13.5,-999.0,-999.0,-999.0,0.9463137060860959
1972-06-01,13.5,-999.0,-999.0,-999.0,0.9463137060860959
1972-07-01,13.5,-999.0,-999.0,-999.0,0.9463137060860959
1972-08-01,13.5,-999.0,-999.0,-999.0,0.9463137060860959
1972-09-01,13.5,-999.0,-999.0,-999.0,0.9463137060860959
1972-10-01,0.0,-999.0,-999.0,-999.0,0.0
1972-11-01,0.0,-999.0,-999.0,-999.0,0.0
1972-12-01,0.0,-999.0,-999.0,-999.0,0.0
1973-01-01,0.0,-999.0,-999.0,-999.0,0.0
1973-02-01,9.0,-999.0,-999.0,-999.0,0.6308758040573973
1973-03-01,11.3,-999.0,-999.0,-999.0,0.7920996206498433
1973-04-01,12.6,-999.0,-999.0,-999.0,0.8832261256803562
1973-05-01,13.6,-999.0,-999.0,-999.0,0.9533234372422892
1973-06-01,13.6,-999.0,-999.0,-999.0,0.9533234372422892
1973-07-01,13.6,-999.0,-999.0,-999.0,0.9533234372422892
1973-08-01,13.6,-999.0,-999.0,-999.0,0.9533234372422892
1973-09-01,13.6,-999.0,-999.0,-999.0,0.9533234372422892
1973-10-01,0.0,-999.0,-999.0,-999.0,0.0
1973-11-01,0.0,-999.0,-999.0,-999.0,0.0
1973-12-01,0.0,-999.0,-999.0,-999.0,0.0
1974-01-01,0.0,-999.0,-999.0,-999.0,0.0
1974-02-01,11.7,-999.0,-999.0,-999.0,0.8201385452746164
1974-03-01,14.4,-999.0,-999.0,-999.0,1.0094012864918356
1974-04-01,17.0,-999.0,-999.0,-999.0,1.1916542965528616
1974-05-01,19.8,-999.0,-999.0,-999.0,1.387926768926274
1974-06-01,19.8,-999.0,-999.0,-999.0,1.387926768926274
1974-07-01,19.8,-999.0,-999.0,-999.0,1.387926768926274
1974-08-01,19.8,-999.0,-999.0,-999.0,1.387926768926274
1974-09-01,19.8,-999.0,-999.0,-999.0,1.387926768926274
1974-10-01,0.0,-999.0,-999.0,-999.0,0.0
1974-11-01,0.0,-999.0,-999.0,-999.0,0.0
1974-12-01,0.0,-999.0,-999.0,-999.0,0.0
1975-01-01,0.0,-999.0,-999.0,-999.0,0.0
1975-02-01,9.5,-999.0,-999.0,-999.0,0.6659244598383638
1975-03-01,14.7,-999.0,-999.0,-999.0,1.0304304799604154
1975-04-01,18.3,-999.0,-999.0,-999.0,1.2827808015833744
1975-05-01,18.3,-999.0,-999.0,-999.0,1.2827808015833744
1975-06-01,18.3,-999.0,-999.0,-999.0,1.2827808015833744
1975-07-01,18.3,-999.0,-999.0,-999.0,1.2827808015833744
1975-08-01,18.3,-999.0,-999.0,-999.0,1.2827808015833744
1975-09-01,18.3,-999.0,-999.0,-999.0,1.2827808015833744
1975-10-01,0.0,-999.0,-999.0,-999.0,0.0
1975-11-01,0.0,-999.0,-999.0,-999.0,0.0
1975-12-01,0.0,-999.0,-999.0,-999.0,0.0
1976-01-01,0.0,-999.0,-999.0,-999.0,0.0
1976-02-01,8.2,-999.0,-999.0,-999.0,0.5747979548078508
1976-03-01,10.8,-999.0,-999.0,-999.0,0.7570509648688768
1976-04-01,13.9,-999.0,-999.0,-999.0,0.9743526307108691
1976-05-01,13.9,-999.0,-999.0,-999.0,0.9743526307108691
1976-06-01,13.9,-999.0,-999.0,-999.0,0.9743526307108691
1976-07-01,13.9,-999.0,-999.0,-999.0,0.9743526307108691
1976-08-01,13.9,-999.0,-999.0,-999.0,0.9743526307108691
1976-09-01,13.9,-999.0,-999.0,-999.0,0.9743526307108691
1976-10-01,0.0,-999.0,-999.0,-999.0,0.0
1976-11-01,0.0,-999.0,-999.0,-999.0,0.0
1976-12-01,0.0,-999.0,-999.0,-999.0,0.0
1977-01-01,0.0,-999.0,-999.0,-999.0,0.0
1977-02-01,4.0,-999.0,-999.0,-999.0,0.2803892462477321
1977-03-01,4.3,-999.0,-999.0,-999.0,0.301418439716312
1977-04-01,6.9,-999.0,-999.0,-999.0,0.48367144977733795
1977-05-01,6.9,-999.0,-999.0,-999.0,0.48367144977733795
1977-06-01,6.9,-999.0,-999.0,-999.0,0.48367144977733795
1977-07-01,6.9,-999.0,-999.0,-999.0,0.48367144977733795
1977-08-01,6.9,-999.0,-999.0,-999.0,0.48367144977733795
1977-09-01,6.9,-999.0,-999.0,-999.0,0.48367144977733795
1977-10-01,0.0,-999.0,-999.0,-999.0,0.0
1977-11-01,0.0,-999.0,-999.0,-999.0,0.0
1977-12-01,0.0,-999.0,-999.0,-999.0,0.0
1978-01-01,0.0,-999.0,-999.0,-999.0,0.0
1978-02-01,13.5,-999.0,-999.0,-999.0,0.9463137060860959
1978-03-01,18.5,-999.0,-999.0,-999.0,1.296800263895761
1978-04-01,22.4,-999.0,-999.0,-999.0,1.5701797789872998
1978-05-01,22.4,-999.0,-999.0,-999.0,1.5701797789872998
1978-06-01,22.4,-999.0,-999.0,-999.0,1.5701797789872998
1978-07-01,22.4,-999.0,-999.0,-999.0,1.5701797789872998
1978-08-01,22.4,-999.0,-999.0,-999.0,1.5701797789872998
1978-09-01,22.4,-999.0,-999.0,-999.0,1.5701797789872998
1978-10-01,0.0,-999.0,-999.0,-999.0,0.0
1978-11-01,0.0,-999.0,-999.0,-999.0,0.0
1978-12-01,0.0,1.9,-999.0,-999.0,0.05621301775147929
1979-01-01,0.0,5.7,-999.0,-999.0,0.1686390532544379
1979-02-01,11.9,5.7,-999.0,-999.0,0.5857180570479394
1979-03-01,15.5,12.5,-999.0,-999.0,0.9130766498120817
1979-04-01,16.8,12.5,-999.0,-999.0,0.9586399023273382
1979-05-01,16.8,18.1,-999.0,-999.0,1.1243203757001192
1979-06-01,16.8,18.1,-999.0,-999.0,1.1243203757001192
1979-07-01,16.8,18.1,-999.0,-999.0,1.1243203757001192
1979-08-01,16.8,18.1,-999.0,-999.0,1.1243203757001192
1979-09-01,16.8,18.1,-999.0,-999.0,1.1243203757001192
1979-10-01,0.0,0.0,-999.0,-999.0,0.0
