,06L06,1059,1124,1128,basinwide_average
1945-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-03-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-04-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-05-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-06-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-07-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-08-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-09-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-10-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-11-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-12-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-01-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-03-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-04-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-05-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-06-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-07-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-08-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-09-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-10-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-11-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-12-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-01-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-03-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-04-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-05-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-06-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-07-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-08-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-09-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-10-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-11-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-12-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-01-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-03-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-04-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-05-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-06-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-07-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-08-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-09-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-10-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-11-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-12-01,-999.0,-999.0,-999.0,-999.0,-999.9
1949-01-01,-999.0,-999.0,-999.0,-999.0,-999.9
1949-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1949-03-01,6.8,-999.0,-999.0,-999.0,1.170731707317073
1949-04-01,8.3,-999.0,-999.0,-999.0,1.4289813486370158
1949-05-01,8.3,-999.0,-999.0,-999.0,1.4289813486370158
1949-06-01,8.3,-999.0,-999.0,-999.0,1.4289813486370158
1949-07-01,8.3,-999.0,-999.0,-999.0,1.4289813486370158
1949-08-01,8.3,-999.0,-999.0,-999.0,1.4289813486370158
1949-09-01,8.3,-999.0,-999.0,-999.0,1.4289813486370158
1949-10-01,0.0,-999.0,-999.0,-999.0,0.0
1949-11-01,0.0,-999.0,-999.0,-999.0,0.0
1949-12-01,0.0,-999.0,-999.0,-999.0,0.0
1950-01-01,0.0,-999.0,-999.0,-999.0,0.0
1950-02-01,1.5,-999.0,-999.0,-999.0,0.2582496413199426
1950-03-01,2.6,-999.0,-999.0,-999.0,0.44763271162123386
1950-04-01,3.0,-999.0,-999.0,-999.0,0.5164992826398852
1950-05-01,3.0,-999.0,-999.0,-999.0,0.5164992826398852
1950-06-01,3.0,-999.0,-999.0,-999.0,0.5164992826398852
1950-07-01,3.0,-999.0,-999.0,-999.0,0.5164992826398852
1950-08-01,3.0,-999.0,-999.0,-999.0,0.5164992826398852
1950-09-01,3.0,-999.0,-999.0,-999.0,0.5164992826398852
1950-10-01,0.0,-999.0,-999.0,-999.0,0.0
1950-11-01,0.0,-999.0,-999.0,-999.0,0.0
1950-12-01,0.0,-999.0,-999.0,-999.0,0.0
1951-01-01,0.0,-999.0,-999.0,-999.0,0.0
1951-02-01,2.8,-999.0,-999.0,-999.0,0.4820659971305595
1951-03-01,4.4,-999.0,-999.0,-999.0,0.757532281205165
1951-04-01,4.7,-999.0,-999.0,-999.0,0.8091822094691535
1951-05-01,4.7,-999.0,-999.0,-999.0,0.8091822094691535
1951-06-01,4.7,-999.0,-999.0,-999.0,0.8091822094691535
1951-07-01,4.7,-999.0,-999.0,-999.0,0.8091822094691535
1951-08-01,4.7,-999.0,-999.0,-999.0,0.8091822094691535
1951-09-01,4.7,-999.0,-999.0,-999.0,0.8091822094691535
1951-10-01,0.0,-999.0,-999.0,-999.0,0.0
1951-11-01,0.0,-999.0,-999.0,-999.0,0.0
1951-12-01,0.0,-999.0,-999.0,-999.0,0.0
1952-01-01,0.0,-999.0,-999.0,-999.0,0.0
1952-02-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1952-03-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1952-04-01,6.1,-999.0,-999.0,-999.0,1.0502152080344331
1952-05-01,6.1,-999.0,-999.0,-999.0,1.0502152080344331
1952-06-01,6.1,-999.0,-999.0,-999.0,1.0502152080344331
1952-07-01,6.1,-999.0,-999.0,-999.0,1.0502152080344331
1952-08-01,6.1,-999.0,-999.0,-999.0,1.0502152080344331
1952-09-01,6.1,-999.0,-999.0,-999.0,1.0502152080344331
1952-10-01,0.0,-999.0,-999.0,-999.0,0.0
1952-11-01,0.0,-999.0,-999.0,-999.0,0.0
1952-12-01,0.0,-999.0,-999.0,-999.0,0.0
1953-01-01,0.0,-999.0,-999.0,-999.0,0.0
1953-02-01,2.3,-999.0,-999.0,-999.0,0.3959827833572453
1953-03-01,3.5,-999.0,-999.0,-999.0,0.6025824964131994
1953-04-01,4.0,-999.0,-999.0,-999.0,0.6886657101865136
1953-05-01,4.0,-999.0,-999.0,-999.0,0.6886657101865136
1953-06-01,4.0,-999.0,-999.0,-999.0,0.6886657101865136
1953-07-01,4.0,-999.0,-999.0,-999.0,0.6886657101865136
1953-08-01,4.0,-999.0,-999.0,-999.0,0.6886657101865136
1953-09-01,4.0,-999.0,-999.0,-999.0,0.6886657101865136
1953-10-01,0.0,-999.0,-999.0,-999.0,0.0
1953-11-01,0.0,-999.0,-999.0,-999.0,0.0
1953-12-01,0.0,-999.0,-999.0,-999.0,0.0
1954-01-01,0.0,-999.0,-999.0,-999.0,0.0
1954-02-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1954-03-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1954-04-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1954-05-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1954-06-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1954-07-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1954-08-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1954-09-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1954-10-01,0.0,-999.0,-999.0,-999.0,0.0
1954-11-01,0.0,-999.0,-999.0,-999.0,0.0
1954-12-01,0.0,-999.0,-999.0,-999.0,0.0
1955-01-01,0.0,-999.0,-999.0,-999.0,0.0
1955-02-01,2.8,-999.0,-999.0,-999.0,0.4820659971305595
1955-03-01,4.4,-999.0,-999.0,-999.0,0.757532281205165
1955-04-01,4.4,-999.0,-999.0,-999.0,0.757532281205165
1955-05-01,4.4,-999.0,-999.0,-999.0,0.757532281205165
1955-06-01,4.4,-999.0,-999.0,-999.0,0.757532281205165
1955-07-01,4.4,-999.0,-999.0,-999.0,0.757532281205165
1955-08-01,4.4,-999.0,-999.0,-999.0,0.757532281205165
1955-09-01,4.4,-999.0,-999.0,-999.0,0.757532281205165
1955-10-01,0.0,-999.0,-999.0,-999.0,0.0
1955-11-01,0.0,-999.0,-999.0,-999.0,0.0
1955-12-01,0.0,-999.0,-999.0,-999.0,0.0
1956-01-01,0.0,-999.0,-999.0,-999.0,0.0
1956-02-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1956-03-01,5.2,-999.0,-999.0,-999.0,0.8952654232424677
1956-04-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1956-05-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1956-06-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1956-07-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1956-08-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1956-09-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1956-10-01,0.0,-999.0,-999.0,-999.0,0.0
1956-11-01,0.0,-999.0,-999.0,-999.0,0.0
1956-12-01,0.0,-999.0,-999.0,-999.0,0.0
1957-01-01,0.0,-999.0,-999.0,-999.0,0.0
1957-02-01,4.9,-999.0,-999.0,-999.0,0.8436154949784792
1957-03-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1957-04-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1957-05-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1957-06-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1957-07-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1957-08-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1957-09-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1957-10-01,0.0,-999.0,-999.0,-999.0,0.0
1957-11-01,0.0,-999.0,-999.0,-999.0,0.0
1957-12-01,0.0,-999.0,-999.0,-999.0,0.0
1958-01-01,0.0,-999.0,-999.0,-999.0,0.0
1958-02-01,4.3,-999.0,-999.0,-999.0,0.7403156384505021
1958-03-01,5.1,-999.0,-999.0,-999.0,0.8780487804878048
1958-04-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1958-05-01,7.7,-999.0,-999.0,-999.0,1.3256814921090387
1958-06-01,7.7,-999.0,-999.0,-999.0,1.3256814921090387
1958-07-01,7.7,-999.0,-999.0,-999.0,1.3256814921090387
1958-08-01,7.7,-999.0,-999.0,-999.0,1.3256814921090387
1958-09-01,7.7,-999.0,-999.0,-999.0,1.3256814921090387
1958-10-01,0.0,-999.0,-999.0,-999.0,0.0
1958-11-01,0.0,-999.0,-999.0,-999.0,0.0
1958-12-01,0.0,-999.0,-999.0,-999.0,0.0
1959-01-01,0.0,-999.0,-999.0,-999.0,0.0
1959-02-01,3.4,-999.0,-999.0,-999.0,0.5853658536585366
1959-03-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1959-04-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1959-05-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1959-06-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1959-07-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1959-08-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1959-09-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1959-10-01,0.0,-999.0,-999.0,-999.0,0.0
1959-11-01,0.0,-999.0,-999.0,-999.0,0.0
1959-12-01,0.0,-999.0,-999.0,-999.0,0.0
1960-01-01,0.0,-999.0,-999.0,-999.0,0.0
1960-02-01,2.9,-999.0,-999.0,-999.0,0.49928263988522237
1960-03-01,5.7,-999.0,-999.0,-999.0,0.9813486370157819
1960-04-01,6.5,-999.0,-999.0,-999.0,1.1190817790530847
1960-05-01,6.5,-999.0,-999.0,-999.0,1.1190817790530847
1960-06-01,6.5,-999.0,-999.0,-999.0,1.1190817790530847
1960-07-01,6.5,-999.0,-999.0,-999.0,1.1190817790530847
1960-08-01,6.5,-999.0,-999.0,-999.0,1.1190817790530847
1960-09-01,6.5,-999.0,-999.0,-999.0,1.1190817790530847
1960-10-01,0.0,-999.0,-999.0,-999.0,0.0
1960-11-01,0.0,-999.0,-999.0,-999.0,0.0
1960-12-01,0.0,-999.0,-999.0,-999.0,0.0
1961-01-01,0.0,-999.0,-999.0,-999.0,0.0
1961-02-01,4.8,-999.0,-999.0,-999.0,0.8263988522238163
1961-03-01,5.3,-999.0,-999.0,-999.0,0.9124820659971304
1961-04-01,6.2,-999.0,-999.0,-999.0,1.067431850789096
1961-05-01,6.6,-999.0,-999.0,-999.0,1.1362984218077474
1961-06-01,6.6,-999.0,-999.0,-999.0,1.1362984218077474
1961-07-01,6.6,-999.0,-999.0,-999.0,1.1362984218077474
1961-08-01,6.6,-999.0,-999.0,-999.0,1.1362984218077474
1961-09-01,6.6,-999.0,-999.0,-999.0,1.1362984218077474
1961-10-01,0.0,-999.0,-999.0,-999.0,0.0
1961-11-01,0.0,-999.0,-999.0,-999.0,0.0
1961-12-01,0.0,-999.0,-999.0,-999.0,0.0
1962-01-01,0.0,-999.0,-999.0,-999.0,0.0
1962-02-01,4.0,-999.0,-999.0,-999.0,0.6886657101865136
1962-03-01,5.6,-999.0,-999.0,-999.0,0.964131994261119
1962-04-01,5.7,-999.0,-999.0,-999.0,0.9813486370157819
1962-05-01,5.7,-999.0,-999.0,-999.0,0.9813486370157819
1962-06-01,5.7,-999.0,-999.0,-999.0,0.9813486370157819
1962-07-01,5.7,-999.0,-999.0,-999.0,0.9813486370157819
1962-08-01,5.7,-999.0,-999.0,-999.0,0.9813486370157819
1962-09-01,5.7,-999.0,-999.0,-999.0,0.9813486370157819
1962-10-01,0.0,-999.0,-999.0,-999.0,0.0
1962-11-01,0.0,-999.0,-999.0,-999.0,0.0
1962-12-01,0.0,-999.0,-999.0,-999.0,0.0
1963-01-01,0.0,-999.0,-999.0,-999.0,0.0
1963-02-01,1.8,-999.0,-999.0,-999.0,0.3098995695839311
1963-03-01,3.1,-999.0,-999.0,-999.0,0.533715925394548
1963-04-01,5.2,-999.0,-999.0,-999.0,0.8952654232424677
1963-05-01,5.2,-999.0,-999.0,-999.0,0.8952654232424677
1963-06-01,5.2,-999.0,-999.0,-999.0,0.8952654232424677
1963-07-01,5.2,-999.0,-999.0,-999.0,0.8952654232424677
1963-08-01,5.2,-999.0,-999.0,-999.0,0.8952654232424677
1963-09-01,5.2,-999.0,-999.0,-999.0,0.8952654232424677
1963-10-01,0.0,-999.0,-999.0,-999.0,0.0
1963-11-01,0.0,-999.0,-999.0,-999.0,0.0
1963-12-01,0.0,-999.0,-999.0,-999.0,0.0
1964-01-01,0.0,-999.0,-999.0,-999.0,0.0
1964-02-01,3.0,-999.0,-999.0,-999.0,0.5164992826398852
1964-03-01,4.5,-999.0,-999.0,-999.0,0.7747489239598278
1964-04-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1964-05-01,5.8,-999.0,-999.0,-999.0,0.9985652797704447
1964-06-01,5.8,-999.0,-999.0,-999.0,0.9985652797704447
1964-07-01,5.8,-999.0,-999.0,-999.0,0.9985652797704447
1964-08-01,5.8,-999.0,-999.0,-999.0,0.9985652797704447
1964-09-01,5.8,-999.0,-999.0,-999.0,0.9985652797704447
1964-10-01,0.0,-999.0,-999.0,-999.0,0.0
1964-11-01,0.0,-999.0,-999.0,-999.0,0.0
1964-12-01,0.0,-999.0,-999.0,-999.0,0.0
1965-01-01,0.0,-999.0,-999.0,-999.0,0.0
1965-02-01,3.9,-999.0,-999.0,-999.0,0.6714490674318507
1965-03-01,5.7,-999.0,-999.0,-999.0,0.9813486370157819
1965-04-01,8.4,-999.0,-999.0,-999.0,1.4461979913916787
1965-05-01,8.4,-999.0,-999.0,-999.0,1.4461979913916787
1965-06-01,8.4,-999.0,-999.0,-999.0,1.4461979913916787
1965-07-01,8.4,-999.0,-999.0,-999.0,1.4461979913916787
1965-08-01,8.4,-999.0,-999.0,-999.0,1.4461979913916787
1965-09-01,8.4,-999.0,-999.0,-999.0,1.4461979913916787
1965-10-01,0.0,-999.0,-999.0,-999.0,0.0
1965-11-01,0.0,-999.0,-999.0,-999.0,0.0
1965-12-01,0.0,-999.0,-999.0,-999.0,0.0
1966-01-01,0.0,-999.0,-999.0,-999.0,0.0
1966-02-01,2.5,-999.0,-999.0,-999.0,0.430416068866571
1966-03-01,3.0,-999.0,-999.0,-999.0,0.5164992826398852
1966-04-01,3.1,-999.0,-999.0,-999.0,0.533715925394548
1966-05-01,3.1,-999.0,-999.0,-999.0,0.533715925394548
1966-06-01,3.1,-999.0,-999.0,-999.0,0.533715925394548
1966-07-01,3.1,-999.0,-999.0,-999.0,0.533715925394548
1966-08-01,3.1,-999.0,-999.0,-999.0,0.533715925394548
1966-09-01,3.1,-999.0,-999.0,-999.0,0.533715925394548
1966-10-01,0.0,-999.0,-999.0,-999.0,0.0
1966-11-01,0.0,-999.0,-999.0,-999.0,0.0
1966-12-01,0.0,-999.0,-999.0,-999.0,0.0
1967-01-01,0.0,-999.0,-999.0,-999.0,0.0
1967-02-01,1.0,-999.0,-999.0,-999.0,0.1721664275466284
1967-03-01,2.0,-999.0,-999.0,-999.0,0.3443328550932568
1967-04-01,2.0,-999.0,-999.0,-999.0,0.3443328550932568
1967-05-01,2.0,-999.0,-999.0,-999.0,0.3443328550932568
1967-06-01,2.0,-999.0,-999.0,-999.0,0.3443328550932568
1967-07-01,2.0,-999.0,-999.0,-999.0,0.3443328550932568
1967-08-01,2.0,-999.0,-999.0,-999.0,0.3443328550932568
1967-09-01,2.0,-999.0,-999.0,-999.0,0.3443328550932568
1967-10-01,0.0,-999.0,-999.0,-999.0,0.0
1967-11-01,0.0,-999.0,-999.0,-999.0,0.0
1967-12-01,0.0,-999.0,-999.0,-999.0,0.0
1968-01-01,0.0,-999.0,-999.0,-999.0,0.0
1968-02-01,4.9,-999.0,-999.0,-999.0,0.8436154949784792
1968-03-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1968-04-01,7.5,-999.0,-999.0,-999.0,1.291248206599713
1968-05-01,7.8,-999.0,-999.0,-999.0,1.3428981348637015
1968-06-01,7.8,-999.0,-999.0,-999.0,1.3428981348637015
1968-07-01,7.8,-999.0,-999.0,-999.0,1.3428981348637015
1968-08-01,7.8,-999.0,-999.0,-999.0,1.3428981348637015
1968-09-01,7.8,-999.0,-999.0,-999.0,1.3428981348637015
1968-10-01,0.0,-999.0,-999.0,-999.0,0.0
1968-11-01,0.0,-999.0,-999.0,-999.0,0.0
1968-12-01,0.0,-999.0,-999.0,-999.0,0.0
1969-01-01,0.0,-999.0,-999.0,-999.0,0.0
1969-02-01,2.5,-999.0,-999.0,-999.0,0.430416068866571
1969-03-01,3.4,-999.0,-999.0,-999.0,0.5853658536585366
1969-04-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1969-05-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1969-06-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1969-07-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1969-08-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1969-09-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1969-10-01,0.0,-999.0,-999.0,-999.0,0.0
1969-11-01,0.0,-999.0,-999.0,-999.0,0.0
1969-12-01,0.0,-999.0,-999.0,-999.0,0.0
1970-01-01,0.0,-999.0,-999.0,-999.0,0.0
1970-02-01,6.7,-999.0,-999.0,-999.0,1.1535150645624104
1970-03-01,8.4,-999.0,-999.0,-999.0,1.4461979913916787
1970-04-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1970-05-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1970-06-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1970-07-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1970-08-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1970-09-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1970-10-01,0.0,-999.0,-999.0,-999.0,0.0
1970-11-01,0.0,-999.0,-999.0,-999.0,0.0
1970-12-01,0.0,-999.0,-999.0,-999.0,0.0
1971-01-01,0.0,-999.0,-999.0,-999.0,0.0
1971-02-01,3.4,-999.0,-999.0,-999.0,0.5853658536585366
1971-03-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1971-04-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1971-05-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1971-06-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1971-07-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1971-08-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1971-09-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1971-10-01,0.0,-999.0,-999.0,-999.0,0.0
1971-11-01,0.0,-999.0,-999.0,-999.0,0.0
1971-12-01,0.0,-999.0,-999.0,-999.0,0.0
1972-01-01,0.0,-999.0,-999.0,-999.0,0.0
1972-02-01,4.2,-999.0,-999.0,-999.0,0.7230989956958394
1972-03-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1972-04-01,6.3,-999.0,-999.0,-999.0,1.0846484935437588
1972-05-01,6.3,-999.0,-999.0,-999.0,1.0846484935437588
1972-06-01,6.3,-999.0,-999.0,-999.0,1.0846484935437588
1972-07-01,6.3,-999.0,-999.0,-999.0,1.0846484935437588
1972-08-01,6.3,-999.0,-999.0,-999.0,1.0846484935437588
1972-09-01,6.3,-999.0,-999.0,-999.0,1.0846484935437588
1972-10-01,0.0,-999.0,-999.0,-999.0,0.0
1972-11-01,0.0,-999.0,-999.0,-999.0,0.0
1972-12-01,0.0,-999.0,-999.0,-999.0,0.0
1973-01-01,0.0,-999.0,-999.0,-999.0,0.0
1973-02-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1973-03-01,6.0,-999.0,-999.0,-999.0,1.0329985652797704
1973-04-01,7.6,-999.0,-999.0,-999.0,1.3084648493543758
1973-05-01,8.9,-999.0,-999.0,-999.0,1.5322812051649928
1973-06-01,8.9,-999.0,-999.0,-999.0,1.5322812051649928
1973-07-01,8.9,-999.0,-999.0,-999.0,1.5322812051649928
1973-08-01,8.9,-999.0,-999.0,-999.0,1.5322812051649928
1973-09-01,8.9,-999.0,-999.0,-999.0,1.5322812051649928
1973-10-01,0.0,-999.0,-999.0,-999.0,0.0
1973-11-01,0.0,-999.0,-999.0,-999.0,0.0
1973-12-01,0.0,-999.0,-999.0,-999.0,0.0
1974-01-01,0.0,-999.0,-999.0,-999.0,0.0
1974-02-01,3.9,-999.0,-999.0,-999.0,0.6714490674318507
1974-03-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1974-04-01,6.8,-999.0,-999.0,-999.0,1.170731707317073
1974-05-01,6.8,-999.0,-999.0,-999.0,1.170731707317073
1974-06-01,6.8,-999.0,-999.0,-999.0,1.170731707317073
1974-07-01,6.8,-999.0,-999.0,-999.0,1.170731707317073
1974-08-01,6.8,-999.0,-999.0,-999.0,1.170731707317073
1974-09-01,6.8,-999.0,-999.0,-999.0,1.170731707317073
1974-10-01,0.0,-999.0,-999.0,-999.0,0.0
1974-11-01,0.0,-999.0,-999.0,-999.0,0.0
1974-12-01,0.0,-999.0,-999.0,-999.0,0.0
1975-01-01,0.0,-999.0,-999.0,-999.0,0.0
1975-02-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1975-03-01,7.5,-999.0,-999.0,-999.0,1.291248206599713
1975-04-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1975-05-01,10.5,-999.0,-999.0,-999.0,1.8077474892395982
1975-06-01,10.5,-999.0,-999.0,-999.0,1.8077474892395982
1975-07-01,10.5,-999.0,-999.0,-999.0,1.8077474892395982
1975-08-01,10.5,-999.0,-999.0,-999.0,1.8077474892395982
1975-09-01,10.5,-999.0,-999.0,-999.0,1.8077474892395982
1975-10-01,0.0,-999.0,-999.0,-999.0,0.0
1975-11-01,0.0,-999.0,-999.0,-999.0,0.0
1975-12-01,0.0,-999.0,-999.0,-999.0,0.0
1976-01-01,0.0,-999.0,-999.0,-999.0,0.0
1976-02-01,4.0,-999.0,-999.0,-999.0,0.6886657101865136
1976-03-01,4.9,-999.0,-999.0,-999.0,0.8436154949784792
1976-04-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1976-05-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1976-06-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1976-07-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1976-08-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1976-09-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1976-10-01,0.0,-999.0,-999.0,-999.0,0.0
1976-11-01,0.0,-999.0,-999.0,-999.0,0.0
1976-12-01,0.0,-999.0,-999.0,-999.0,0.0
1977-01-01,0.0,-999.0,-999.0,-999.0,0.0
1977-02-01,1.5,-999.0,-999.0,-999.0,0.2582496413199426
1977-03-01,1.6,-999.0,-999.0,-999.0,0.27546628407460544
1977-04-01,2.2,-999.0,-999.0,-999.0,0.3787661406025825
1977-05-01,2.2,-999.0,-999.0,-999.0,0.3787661406025825
1977-06-01,2.2,-999.0,-999.0,-999.0,0.3787661406025825
1977-07-01,2.2,-999.0,-999.0,-999.0,0.3787661406025825
1977-08-01,2.2,-999.0,-999.0,-999.0,0.3787661406025825
1977-09-01,2.2,-999.0,-999.0,-999.0,0.3787661406025825
1977-10-01,0.0,-999.0,-999.0,-999.0,0.0
1977-11-01,0.0,-999.0,-999.0,-999.0,0.0
1977-12-01,0.0,-999.0,-999.0,-999.0,0.0
1978-01-01,0.0,-999.0,-999.0,-999.0,0.0
1978-02-01,4.2,-999.0,-999.0,-999.0,0.7230989956958394
1978-03-01,5.0,-999.0,-999.0,-999.0,0.860832137733142
1978-04-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1978-05-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1978-06-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1978-07-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1978-08-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1978-09-01,5.4,-999.0,-999.0,-999.0,0.9296987087517934
1978-10-01,0.0,-999.0,-999.0,-999.0,0.0
1978-11-01,0.0,-999.0,-999.0,-999.0,0.0
1978-12-01,0.0,-999.0,-999.0,-999.0,0.0
1979-01-01,0.0,-999.0,-999.0,-999.0,0.0
1979-02-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1979-03-01,7.3,-999.0,-999.0,-999.0,1.2568149210903874
1979-04-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1979-05-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1979-06-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1979-07-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1979-08-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1979-09-01,9.6,-999.0,-999.0,-999.0,1.6527977044476325
1979-10-01,0.0,-999.0,-999.0,-999.0,0.0
1979-11-01,0.0,-999.0,-999.0,-999.0,0.0
1979-12-01,0.0,-999.0,-999.0,-999.0,0.0
1980-01-01,0.0,-999.0,-999.0,-999.0,0.0
1980-02-01,3.9,-999.0,-999.0,-999.0,0.6714490674318507
1980-03-01,5.3,-999.0,-999.0,-999.0,0.9124820659971304
