,07M10,06M14,07M20,07M17,327,624,839,basinwide_average
1933-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1933-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-03-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-05-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1934-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-03-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-05-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1935-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-03-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-05-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1936-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-03-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-05-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1937-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-03-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-04-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-05-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-06-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-07-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-08-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-09-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-11-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1938-12-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1939-01-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1939-02-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.9
1939-03-01,-999.0,-999.0,-999.0,3.7,-999.0,-999.0,-999.0,0.7884615384615385
1939-04-01,-999.0,-999.0,-999.0,3.7,-999.0,-999.0,-999.0,0.7884615384615385
1939-05-01,-999.0,-999.0,-999.0,3.7,-999.0,-999.0,-999.0,0.7884615384615385
1939-06-01,-999.0,-999.0,-999.0,3.7,-999.0,-999.0,-999.0,0.7884615384615385
1939-07-01,-999.0,-999.0,-999.0,3.7,-999.0,-999.0,-999.0,0.7884615384615385
1939-08-01,-999.0,-999.0,-999.0,3.7,-999.0,-999.0,-999.0,0.7884615384615385
1939-09-01,-999.0,-999.0,-999.0,3.7,-999.0,-999.0,-999.0,0.7884615384615385
1939-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1939-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1939-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1940-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1940-02-01,-999.0,-999.0,-999.0,1.6,-999.0,-999.0,-999.0,0.340956340956341
1940-03-01,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0,0.46881496881496887
1940-04-01,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0,0.46881496881496887
1940-05-01,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0,0.46881496881496887
1940-06-01,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0,0.46881496881496887
1940-07-01,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0,0.46881496881496887
1940-08-01,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0,0.46881496881496887
1940-09-01,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0,0.46881496881496887
1940-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1940-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1940-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1941-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1941-02-01,-999.0,-999.0,-999.0,5.6,-999.0,-999.0,-999.0,1.1933471933471933
1941-03-01,-999.0,-999.0,-999.0,5.6,-999.0,-999.0,-999.0,1.1933471933471933
1941-04-01,-999.0,-999.0,-999.0,7.3,-999.0,-999.0,-999.0,1.5556133056133057
1941-05-01,-999.0,-999.0,-999.0,7.4,-999.0,-999.0,-999.0,1.576923076923077
1941-06-01,-999.0,-999.0,-999.0,7.4,-999.0,-999.0,-999.0,1.576923076923077
1941-07-01,-999.0,-999.0,-999.0,7.4,-999.0,-999.0,-999.0,1.576923076923077
1941-08-01,-999.0,-999.0,-999.0,7.4,-999.0,-999.0,-999.0,1.576923076923077
1941-09-01,-999.0,-999.0,-999.0,7.4,-999.0,-999.0,-999.0,1.576923076923077
1941-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1941-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1941-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1942-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1942-02-01,-999.0,-999.0,-999.0,2.2,-999.0,-999.0,-999.0,0.46881496881496887
1942-03-01,-999.0,-999.0,-999.0,3.9,-999.0,-999.0,-999.0,0.8310810810810811
1942-04-01,-999.0,-999.0,-999.0,3.9,-999.0,-999.0,-999.0,0.8310810810810811
1942-05-01,-999.0,-999.0,-999.0,3.9,-999.0,-999.0,-999.0,0.8310810810810811
1942-06-01,-999.0,-999.0,-999.0,3.9,-999.0,-999.0,-999.0,0.8310810810810811
1942-07-01,-999.0,-999.0,-999.0,3.9,-999.0,-999.0,-999.0,0.8310810810810811
1942-08-01,-999.0,-999.0,-999.0,3.9,-999.0,-999.0,-999.0,0.8310810810810811
1942-09-01,-999.0,-999.0,-999.0,3.9,-999.0,-999.0,-999.0,0.8310810810810811
1942-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1942-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1942-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1943-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1943-02-01,-999.0,-999.0,-999.0,4.6,-999.0,-999.0,-999.0,0.9802494802494802
1943-03-01,-999.0,-999.0,-999.0,6.3,-999.0,-999.0,-999.0,1.3425155925155925
1943-04-01,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,-999.0,1.7900207900207903
1943-05-01,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,-999.0,1.7900207900207903
1943-06-01,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,-999.0,1.7900207900207903
1943-07-01,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,-999.0,1.7900207900207903
1943-08-01,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,-999.0,1.7900207900207903
1943-09-01,-999.0,-999.0,-999.0,8.4,-999.0,-999.0,-999.0,1.7900207900207903
1943-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1943-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1943-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1944-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1944-02-01,-999.0,-999.0,-999.0,3.6,-999.0,-999.0,-999.0,0.7671517671517672
1944-03-01,-999.0,-999.0,-999.0,4.7,-999.0,-999.0,-999.0,1.0015592515592517
1944-04-01,-999.0,-999.0,-999.0,8.9,-999.0,-999.0,-999.0,1.8965696465696467
1944-05-01,-999.0,-999.0,-999.0,8.9,-999.0,-999.0,-999.0,1.8965696465696467
1944-06-01,-999.0,-999.0,-999.0,8.9,-999.0,-999.0,-999.0,1.8965696465696467
1944-07-01,-999.0,-999.0,-999.0,8.9,-999.0,-999.0,-999.0,1.8965696465696467
1944-08-01,-999.0,-999.0,-999.0,8.9,-999.0,-999.0,-999.0,1.8965696465696467
1944-09-01,-999.0,-999.0,-999.0,8.9,-999.0,-999.0,-999.0,1.8965696465696467
1944-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1944-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1944-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1945-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1945-02-01,-999.0,-999.0,-999.0,2.8,-999.0,-999.0,-999.0,0.5966735966735967
1945-03-01,-999.0,-999.0,-999.0,3.1,-999.0,-999.0,-999.0,0.6606029106029107
1945-04-01,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,-999.0,0.7245322245322245
1945-05-01,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,-999.0,0.7245322245322245
1945-06-01,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,-999.0,0.7245322245322245
1945-07-01,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,-999.0,0.7245322245322245
1945-08-01,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,-999.0,0.7245322245322245
1945-09-01,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,-999.0,0.7245322245322245
1945-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1945-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1945-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1946-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1946-02-01,-999.0,-999.0,-999.0,0.9,-999.0,-999.0,-999.0,0.1917879417879418
1946-03-01,-999.0,-999.0,-999.0,0.9,-999.0,-999.0,-999.0,0.1917879417879418
1946-04-01,-999.0,-999.0,-999.0,0.9,-999.0,-999.0,-999.0,0.1917879417879418
1946-05-01,-999.0,-999.0,-999.0,0.9,-999.0,-999.0,-999.0,0.1917879417879418
1946-06-01,-999.0,-999.0,-999.0,0.9,-999.0,-999.0,-999.0,0.1917879417879418
1946-07-01,-999.0,-999.0,-999.0,0.9,-999.0,-999.0,-999.0,0.1917879417879418
1946-08-01,-999.0,-999.0,-999.0,0.9,-999.0,-999.0,-999.0,0.1917879417879418
1946-09-01,-999.0,-999.0,-999.0,0.9,-999.0,-999.0,-999.0,0.1917879417879418
1946-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1946-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1946-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1947-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1947-02-01,-999.0,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,0.7032224532224532
1947-03-01,-999.0,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,0.7032224532224532
1947-04-01,-999.0,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,0.7032224532224532
1947-05-01,-999.0,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,0.7032224532224532
1947-06-01,-999.0,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,0.7032224532224532
1947-07-01,-999.0,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,0.7032224532224532
1947-08-01,-999.0,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,0.7032224532224532
1947-09-01,-999.0,-999.0,-999.0,3.3,-999.0,-999.0,-999.0,0.7032224532224532
1947-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1947-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1947-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1948-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1948-02-01,-999.0,-999.0,-999.0,3.9,-999.0,-999.0,-999.0,0.8310810810810811
1948-03-01,-999.0,-999.0,-999.0,6.8,-999.0,-999.0,-999.0,1.449064449064449
1948-04-01,-999.0,-999.0,-999.0,8.0,-999.0,-999.0,-999.0,1.7047817047817049
1948-05-01,-999.0,-999.0,-999.0,8.0,-999.0,-999.0,-999.0,1.7047817047817049
1948-06-01,-999.0,-999.0,-999.0,8.0,-999.0,-999.0,-999.0,1.7047817047817049
1948-07-01,-999.0,-999.0,-999.0,8.0,-999.0,-999.0,-999.0,1.7047817047817049
1948-08-01,-999.0,-999.0,-999.0,8.0,-999.0,-999.0,-999.0,1.7047817047817049
1948-09-01,-999.0,-999.0,-999.0,8.0,-999.0,-999.0,-999.0,1.7047817047817049
1948-10-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1948-11-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1948-12-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1949-01-01,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1949-02-01,-999.0,-999.0,-999.0,7.3,-999.0,-999.0,-999.0,1.5556133056133057
1949-03-01,-999.0,-999.0,-999.0,8.3,-999.0,-999.0,-999.0,1.7687110187110189
1949-04-01,-999.0,12.4,-999.0,9.6,-999.0,-999.0,-999.0,2.119944471382171
1949-05-01,-999.0,12.4,-999.0,9.6,-999.0,-999.0,-999.0,2.119944471382171
1949-06-01,-999.0,12.4,-999.0,9.6,-999.0,-999.0,-999.0,2.119944471382171
1949-07-01,-999.0,12.4,-999.0,9.6,-999.0,-999.0,-999.0,2.119944471382171
1949-08-01,-999.0,12.4,-999.0,9.6,-999.0,-999.0,-999.0,2.119944471382171
1949-09-01,-999.0,12.4,-999.0,9.6,-999.0,-999.0,-999.0,2.119944471382171
1949-10-01,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1949-11-01,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1949-12-01,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1950-01-01,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1950-02-01,-999.0,0.0,-999.0,4.2,-999.0,-999.0,-999.0,0.44750519750519757
1950-03-01,-999.0,3.4,-999.0,4.3,-999.0,-999.0,-999.0,0.758971093236269
1950-04-01,-999.0,3.4,-999.0,4.3,-999.0,-999.0,-999.0,0.758971093236269
1950-05-01,-999.0,3.4,-999.0,4.3,-999.0,-999.0,-999.0,0.758971093236269
1950-06-01,-999.0,3.4,-999.0,4.3,-999.0,-999.0,-999.0,0.758971093236269
1950-07-01,-999.0,3.4,-999.0,4.3,-999.0,-999.0,-999.0,0.758971093236269
1950-08-01,-999.0,3.4,-999.0,4.3,-999.0,-999.0,-999.0,0.758971093236269
1950-09-01,-999.0,3.4,-999.0,4.3,-999.0,-999.0,-999.0,0.758971093236269
1950-10-01,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1950-11-01,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1950-12-01,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1951-01-01,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0
1951-02-01,-999.0,0.0,-999.0,1.3,-999.0,-999.0,-999.0,0.13851351351351351
1951-03-01,-999.0,3.0,6.0,3.1,-999.0,-999.0,-999.0,0.6099792708002182
1951-04-01,-999.0,3.0,6.9,3.1,-999.0,-999.0,-999.0,0.6419038679422067
1951-05-01,-999.0,3.0,6.9,3.1,-999.0,-999.0,-999.0,0.6419038679422067
1951-06-01,-999.0,3.0,6.9,3.1,-999.0,-999.0,-999.0,0.6419038679422067
1951-07-01,-999.0,3.0,6.9,3.1,-999.0,-999.0,-999.0,0.6419038679422067
1951-08-01,-999.0,3.0,6.9,3.1,-999.0,-999.0,-999.0,0.6419038679422067
1951-09-01,-999.0,3.0,6.9,3.1,-999.0,-999.0,-999.0,0.6419038679422067
1951-10-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1951-11-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1951-12-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1952-01-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1952-02-01,-999.0,0.0,13.0,7.9,-999.0,-999.0,-999.0,1.022290380986033
1952-03-01,-999.0,8.3,15.9,8.2,-999.0,-999.0,-999.0,1.6360234719034554
1952-04-01,-999.0,10.4,19.8,10.0,-999.0,-999.0,-999.0,2.0260853778008943
1952-05-01,-999.0,10.4,19.8,10.0,-999.0,-999.0,-999.0,2.0260853778008943
1952-06-01,-999.0,10.4,19.8,10.0,-999.0,-999.0,-999.0,2.0260853778008943
1952-07-01,-999.0,10.4,19.8,10.0,-999.0,-999.0,-999.0,2.0260853778008943
1952-08-01,-999.0,10.4,19.8,10.0,-999.0,-999.0,-999.0,2.0260853778008943
1952-09-01,-999.0,10.4,19.8,10.0,-999.0,-999.0,-999.0,2.0260853778008943
1952-10-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1952-11-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1952-12-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1953-01-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1953-02-01,-999.0,0.0,3.0,3.3,-999.0,-999.0,-999.0,0.34082280821411254
1953-03-01,-999.0,3.4,5.9,3.4,-999.0,-999.0,-999.0,0.6513348850479008
1953-04-01,-999.0,3.6,6.2,3.4,-999.0,-999.0,-999.0,0.6737729276276297
1953-05-01,-999.0,3.6,6.2,3.4,-999.0,-999.0,-999.0,0.6737729276276297
1953-06-01,-999.0,3.6,6.2,3.4,-999.0,-999.0,-999.0,0.6737729276276297
1953-07-01,-999.0,3.6,6.2,3.4,-999.0,-999.0,-999.0,0.6737729276276297
1953-08-01,-999.0,3.6,6.2,3.4,-999.0,-999.0,-999.0,0.6737729276276297
1953-09-01,-999.0,3.6,6.2,3.4,-999.0,-999.0,-999.0,0.6737729276276297
1953-10-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1953-11-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1953-12-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1954-01-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1954-02-01,-999.0,0.0,9.1,3.1,-999.0,-999.0,-999.0,0.5429941190810755
1954-03-01,-999.0,3.5,9.1,3.1,-999.0,-999.0,-999.0,0.7494330475647325
1954-04-01,-999.0,5.3,10.1,3.1,-999.0,-999.0,-999.0,0.8910734139585369
1954-05-01,-999.0,5.3,10.1,3.1,-999.0,-999.0,-999.0,0.8910734139585369
1954-06-01,-999.0,5.3,10.1,3.1,-999.0,-999.0,-999.0,0.8910734139585369
1954-07-01,-999.0,5.3,10.1,3.1,-999.0,-999.0,-999.0,0.8910734139585369
1954-08-01,-999.0,5.3,10.1,3.1,-999.0,-999.0,-999.0,0.8910734139585369
1954-09-01,-999.0,5.3,10.1,3.1,-999.0,-999.0,-999.0,0.8910734139585369
1954-10-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1954-11-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1954-12-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1955-01-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1955-02-01,-999.0,0.0,4.4,2.9,-999.0,-999.0,-999.0,0.3620702642441773
1955-03-01,-999.0,4.3,6.9,4.0,-999.0,-999.0,-999.0,0.7825104981654504
1955-04-01,-999.0,4.3,6.9,4.0,-999.0,-999.0,-999.0,0.7825104981654504
1955-05-01,-999.0,4.3,6.9,4.0,-999.0,-999.0,-999.0,0.7825104981654504
1955-06-01,-999.0,4.3,6.9,4.0,-999.0,-999.0,-999.0,0.7825104981654504
1955-07-01,-999.0,4.3,6.9,4.0,-999.0,-999.0,-999.0,0.7825104981654504
1955-08-01,-999.0,4.3,6.9,4.0,-999.0,-999.0,-999.0,0.7825104981654504
1955-09-01,-999.0,4.3,6.9,4.0,-999.0,-999.0,-999.0,0.7825104981654504
1955-10-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1955-11-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1955-12-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1956-01-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1956-02-01,-999.0,0.0,8.4,4.7,-999.0,-999.0,-999.0,0.6318159905116428
1956-03-01,-999.0,3.0,8.4,5.8,-999.0,-999.0,-999.0,0.8868994716334625
1956-04-01,-999.0,3.0,8.4,5.8,-999.0,-999.0,-999.0,0.8868994716334625
1956-05-01,-999.0,3.0,8.4,5.8,-999.0,-999.0,-999.0,0.8868994716334625
1956-06-01,-999.0,3.0,8.4,5.8,-999.0,-999.0,-999.0,0.8868994716334625
1956-07-01,-999.0,3.0,8.4,5.8,-999.0,-999.0,-999.0,0.8868994716334625
1956-08-01,-999.0,3.0,8.4,5.8,-999.0,-999.0,-999.0,0.8868994716334625
1956-09-01,-999.0,3.0,8.4,5.8,-999.0,-999.0,-999.0,0.8868994716334625
1956-10-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1956-11-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1956-12-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1957-01-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1957-02-01,-999.0,0.0,14.2,5.9,-999.0,-999.0,-999.0,0.9227913684435425
1957-03-01,-999.0,6.1,14.2,6.4,-999.0,-999.0,-999.0,1.3181012150313443
1957-04-01,-999.0,6.9,14.2,7.6,-999.0,-999.0,-999.0,1.4505263410666938
1957-05-01,-999.0,6.9,14.2,7.6,-999.0,-999.0,-999.0,1.4505263410666938
1957-06-01,-999.0,6.9,14.2,7.6,-999.0,-999.0,-999.0,1.4505263410666938
1957-07-01,-999.0,6.9,14.2,7.6,-999.0,-999.0,-999.0,1.4505263410666938
1957-08-01,-999.0,6.9,14.2,7.6,-999.0,-999.0,-999.0,1.4505263410666938
1957-09-01,-999.0,6.9,14.2,7.6,-999.0,-999.0,-999.0,1.4505263410666938
1957-10-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1957-11-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
1957-12-01,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0
