,904,basinwide_average
1977-04-01,-999.0,-999.9
1977-05-01,-999.0,-999.9
1977-06-01,-999.0,-999.9
1977-07-01,-999.0,-999.9
1977-08-01,-999.0,-999.9
1977-09-01,-999.0,-999.9
1977-10-01,-999.0,-999.9
1977-11-01,-999.0,-999.9
1977-12-01,-999.0,-999.9
1978-01-01,-999.0,-999.9
1978-02-01,-999.0,-999.9
1978-03-01,-999.0,-999.9
1978-04-01,-999.0,-999.9
1978-05-01,-999.0,-999.9
1978-06-01,-999.0,-999.9
1978-07-01,-999.0,-999.9
1978-08-01,-999.0,-999.9
1978-09-01,-999.0,-999.9
1978-10-01,-999.0,-999.9
1978-11-01,-999.0,-999.9
1978-12-01,-999.0,-999.9
1979-01-01,-999.0,-999.9
1979-02-01,-999.0,-999.9
1979-03-01,-999.0,-999.9
1979-04-01,-999.0,-999.9
1979-05-01,-999.0,-999.9
1979-06-01,-999.0,-999.9
1979-07-01,-999.0,-999.9
1979-08-01,-999.0,-999.9
1979-09-01,-999.0,-999.9
1979-10-01,-999.0,-999.9
1979-11-01,-999.0,-999.9
1979-12-01,-999.0,-999.9
1980-01-01,-999.0,-999.9
1980-02-01,-999.0,-999.9
1980-03-01,-999.0,-999.9
1980-04-01,-999.0,-999.9
1980-05-01,-999.0,-999.9
1980-06-01,-999.0,-999.9
1980-07-01,-999.0,-999.9
1980-08-01,-999.0,-999.9
1980-09-01,-999.0,-999.9
1980-10-01,-999.0,-999.9
1980-11-01,-999.0,-999.9
1980-12-01,-999.0,-999.9
1981-01-01,-999.0,-999.9
1981-02-01,-999.0,-999.9
1981-03-01,-999.0,-999.9
1981-04-01,-999.0,-999.9
1981-05-01,-999.0,-999.9
1981-06-01,-999.0,-999.9
1981-07-01,-999.0,-999.9
1981-08-01,-999.0,-999.9
1981-09-01,-999.0,-999.9
1981-10-01,-999.0,-999.9
1981-11-01,-999.0,-999.9
1981-12-01,-999.0,-999.9
1982-01-01,-999.0,-999.9
1982-02-01,-999.0,-999.9
1982-03-01,-999.0,-999.9
1982-04-01,-999.0,-999.9
1982-05-01,-999.0,-999.9
1982-06-01,-999.0,-999.9
1982-07-01,-999.0,-999.9
1982-08-01,-999.0,-999.9
1982-09-01,-999.0,-999.9
1982-10-01,-999.0,-999.9
1982-11-01,-999.0,-999.9
1982-12-01,-999.0,-999.9
1983-01-01,-999.0,-999.9
1983-02-01,-999.0,-999.9
1983-03-01,-999.0,-999.9
1983-04-01,-999.0,-999.9
1983-05-01,-999.0,-999.9
1983-06-01,-999.0,-999.9
1983-07-01,-999.0,-999.9
1983-08-01,-999.0,-999.9
1983-09-01,-999.0,-999.9
1983-10-01,-999.0,-999.9
1983-11-01,-999.0,-999.9
1983-12-01,-999.0,-999.9
1984-01-01,-999.0,-999.9
1984-02-01,-999.0,-999.9
1984-03-01,-999.0,-999.9
1984-04-01,-999.0,-999.9
1984-05-01,-999.0,-999.9
1984-06-01,-999.0,-999.9
1984-07-01,-999.0,-999.9
1984-08-01,-999.0,-999.9
1984-09-01,-999.0,-999.9
1984-10-01,-999.0,-999.9
1984-11-01,-999.0,-999.9
1984-12-01,-999.0,-999.9
1985-01-01,-999.0,-999.9
1985-02-01,-999.0,-999.9
1985-03-01,-999.0,-999.9
1985-04-01,-999.0,-999.9
1985-05-01,-999.0,-999.9
1985-06-01,-999.0,-999.9
1985-07-01,-999.0,-999.9
1985-08-01,-999.0,-999.9
1985-09-01,-999.0,-999.9
1985-10-01,-999.0,-999.9
1985-11-01,-999.0,-999.9
1985-12-01,-999.0,-999.9
1986-01-01,-999.0,-999.9
1986-02-01,-999.0,-999.9
1986-03-01,-999.0,-999.9
1986-04-01,-999.0,-999.9
1986-05-01,-999.0,-999.9
1986-06-01,-999.0,-999.9
1986-07-01,-999.0,-999.9
1986-08-01,-999.0,-999.9
1986-09-01,-999.0,-999.9
1986-10-01,-999.0,-999.9
1986-11-01,-999.0,-999.9
1986-12-01,-999.0,-999.9
1987-01-01,-999.0,-999.9
1987-02-01,-999.0,-999.9
1987-03-01,-999.0,-999.9
1987-04-01,-999.0,-999.9
1987-05-01,-999.0,-999.9
1987-06-01,-999.0,-999.9
1987-07-01,-999.0,-999.9
1987-08-01,-999.0,-999.9
1987-09-01,-999.0,-999.9
1987-10-01,-999.0,-999.9
1987-11-01,-999.0,-999.9
1987-12-01,-999.0,-999.9
1988-01-01,-999.0,-999.9
1988-02-01,-999.0,-999.9
1988-03-01,-999.0,-999.9
1988-04-01,-999.0,-999.9
1988-05-01,-999.0,-999.9
1988-06-01,-999.0,-999.9
1988-07-01,-999.0,-999.9
1988-08-01,-999.0,-999.9
1988-09-01,-999.0,-999.9
1988-10-01,-999.0,-999.9
1988-11-01,-999.0,-999.9
1988-12-01,-999.0,-999.9
1989-01-01,-999.0,-999.9
1989-02-01,-999.0,-999.9
1989-03-01,-999.0,-999.9
1989-04-01,-999.0,-999.9
1989-05-01,-999.0,-999.9
1989-06-01,-999.0,-999.9
1989-07-01,-999.0,-999.9
1989-08-01,-999.0,-999.9
1989-09-01,-999.0,-999.9
1989-10-01,-999.0,-999.9
1989-11-01,-999.0,-999.9
1989-12-01,-999.0,-999.9
1990-01-01,-999.0,-999.9
1990-02-01,-999.0,-999.9
1990-03-01,-999.0,-999.9
1990-04-01,-999.0,-999.9
1990-05-01,-999.0,-999.9
1990-06-01,-999.0,-999.9
1990-07-01,-999.0,-999.9
1990-08-01,-999.0,-999.9
1990-09-01,-999.0,-999.9
1990-10-01,-999.0,-999.9
1990-11-01,-999.0,-999.9
1990-12-01,-999.0,-999.9
1991-01-01,-999.0,-999.9
1991-02-01,-999.0,-999.9
1991-03-01,-999.0,-999.9
1991-04-01,-999.0,-999.9
1991-05-01,-999.0,-999.9
1991-06-01,-999.0,-999.9
1991-07-01,-999.0,-999.9
1991-08-01,-999.0,-999.9
1991-09-01,-999.0,-999.9
1991-10-01,-999.0,-999.9
1991-11-01,-999.0,-999.9
1991-12-01,-999.0,-999.9
1992-01-01,-999.0,-999.9
1992-02-01,-999.0,-999.9
1992-03-01,-999.0,-999.9
1992-04-01,-999.0,-999.9
1992-05-01,-999.0,-999.9
1992-06-01,-999.0,-999.9
1992-07-01,-999.0,-999.9
1992-08-01,-999.0,-999.9
1992-09-01,-999.0,-999.9
1992-10-01,-999.0,-999.9
1992-11-01,-999.0,-999.9
1992-12-01,-999.0,-999.9
1993-01-01,-999.0,-999.9
1993-02-01,-999.0,-999.9
1993-03-01,-999.0,-999.9
1993-04-01,-999.0,-999.9
1993-05-01,-999.0,-999.9
1993-06-01,-999.0,-999.9
1993-07-01,-999.0,-999.9
1993-08-01,-999.0,-999.9
1993-09-01,-999.0,-999.9
1993-10-01,-999.0,-999.9
1993-11-01,-999.0,-999.9
1993-12-01,-999.0,-999.9
1994-01-01,-999.0,-999.9
1994-02-01,-999.0,-999.9
1994-03-01,-999.0,-999.9
1994-04-01,-999.0,-999.9
1994-05-01,-999.0,-999.9
1994-06-01,-999.0,-999.9
1994-07-01,-999.0,-999.9
1994-08-01,-999.0,-999.9
1994-09-01,-999.0,-999.9
1994-10-01,-999.0,-999.9
1994-11-01,4.0,0.15940959409594097
1994-12-01,10.4,0.4144649446494465
1995-01-01,14.2,0.5659040590405904
1995-02-01,21.5,0.8568265682656827
1995-03-01,28.5,1.1357933579335793
1995-04-01,38.3,1.5263468634686346
1995-05-01,41.6,1.657859778597786
1995-06-01,41.6,1.657859778597786
1995-07-01,41.6,1.657859778597786
1995-08-01,41.6,1.657859778597786
1995-09-01,41.6,1.657859778597786
1995-10-01,0.0,0.0
1995-11-01,0.2,0.007970479704797048
1995-12-01,2.4,0.09564575645756458
1996-01-01,5.3,0.21121771217712176
1996-02-01,12.1,0.4822140221402214
1996-03-01,19.0,0.7571955719557196
1996-04-01,24.1,0.9604428044280444
1996-05-01,24.1,0.9604428044280444
1996-06-01,24.1,0.9604428044280444
1996-07-01,24.1,0.9604428044280444
1996-08-01,24.1,0.9604428044280444
1996-09-01,24.1,0.9604428044280444
1996-10-01,0.0,0.0
1996-11-01,7.6,0.3028782287822878
1996-12-01,12.3,0.4901845018450185
1997-01-01,19.5,0.7771217712177122
1997-02-01,26.7,1.064059040590406
1997-03-01,33.2,1.3230996309963101
1997-04-01,33.4,1.331070110701107
1997-05-01,34.1,1.3589667896678967
1997-06-01,34.1,1.3589667896678967
1997-07-01,34.1,1.3589667896678967
1997-08-01,34.1,1.3589667896678967
1997-09-01,34.1,1.3589667896678967
1997-10-01,0.0,0.0
1997-11-01,1.3,0.05180811808118081
1997-12-01,4.3,0.17136531365313654
1998-01-01,8.3,0.33077490774907753
1998-02-01,11.4,0.45431734317343175
1998-03-01,16.9,0.6735055350553505
1998-04-01,24.5,0.9763837638376384
1998-05-01,27.5,1.0959409594095941
1998-06-01,27.5,1.0959409594095941
1998-07-01,27.5,1.0959409594095941
1998-08-01,27.5,1.0959409594095941
1998-09-01,27.5,1.0959409594095941
1998-10-01,0.0,0.0
1998-11-01,6.4,0.25505535055350553
1998-12-01,10.8,0.4304059040590406
1999-01-01,11.7,0.4662730627306273
1999-02-01,15.4,0.6137269372693728
1999-03-01,16.8,0.6695202952029521
1999-04-01,16.8,0.6695202952029521
1999-05-01,24.4,0.9723985239852398
1999-06-01,24.4,0.9723985239852398
1999-07-01,24.4,0.9723985239852398
1999-08-01,24.4,0.9723985239852398
1999-09-01,24.4,0.9723985239852398
1999-10-01,0.0,0.0
1999-11-01,0.0,0.0
1999-12-01,0.5,0.01992619926199262
2000-01-01,1.0,0.03985239852398524
2000-02-01,4.7,0.18730627306273065
2000-03-01,11.1,0.44236162361623615
2000-04-01,20.5,0.8169741697416975
2000-05-01,20.5,0.8169741697416975
2000-06-01,20.5,0.8169741697416975
2000-07-01,20.5,0.8169741697416975
2000-08-01,20.5,0.8169741697416975
2000-09-01,20.5,0.8169741697416975
2000-10-01,0.0,0.0
2000-11-01,8.1,0.32280442804428044
2000-12-01,11.4,0.45431734317343175
2001-01-01,14.6,0.5818450184501845
2001-02-01,20.4,0.8129889298892988
2001-03-01,25.6,1.0202214022140221
2001-04-01,29.5,1.1756457564575646
2001-05-01,29.5,1.1756457564575646
2001-06-01,29.5,1.1756457564575646
2001-07-01,29.5,1.1756457564575646
2001-08-01,29.5,1.1756457564575646
2001-09-01,29.5,1.1756457564575646
2001-10-01,0.0,0.0
2001-11-01,0.6,0.023911439114391145
2001-12-01,4.9,0.1952767527675277
2002-01-01,6.9,0.27498154981549816
2002-02-01,7.3,0.2909225092250923
2002-03-01,8.3,0.33077490774907753
2002-04-01,10.4,0.4144649446494465
2002-05-01,10.4,0.4144649446494465
2002-06-01,10.4,0.4144649446494465
2002-07-01,10.4,0.4144649446494465
2002-08-01,10.4,0.4144649446494465
2002-09-01,10.4,0.4144649446494465
2002-10-01,0.1,0.003985239852398524
2002-11-01,3.0,0.11955719557195572
2002-12-01,6.9,0.27498154981549816
2003-01-01,10.5,0.418450184501845
2003-02-01,12.1,0.4822140221402214
2003-03-01,17.8,0.7093726937269373
2003-04-01,22.1,0.8807380073800739
2003-05-01,22.1,0.8807380073800739
2003-06-01,22.1,0.8807380073800739
2003-07-01,22.1,0.8807380073800739
2003-08-01,22.1,0.8807380073800739
2003-09-01,22.1,0.8807380073800739
2003-10-01,0.0,0.0
2003-11-01,0.2,0.007970479704797048
2003-12-01,4.9,0.1952767527675277
2004-01-01,9.0,0.3586715867158672
2004-02-01,14.4,0.5738745387453875
2004-03-01,21.5,0.8568265682656827
2004-04-01,22.3,0.8887084870848709
2004-05-01,28.6,1.139778597785978
2004-06-01,28.6,1.139778597785978
2004-07-01,28.6,1.139778597785978
2004-08-01,28.6,1.139778597785978
2004-09-01,28.6,1.139778597785978
2004-10-01,0.9,0.03586715867158672
2004-11-01,4.9,0.1952767527675277
2004-12-01,11.1,0.44236162361623615
2005-01-01,14.3,0.569889298892989
2005-02-01,31.0,1.2354243542435426
2005-03-01,37.4,1.490479704797048
2005-04-01,42.3,1.6857564575645756
2005-05-01,42.3,1.6857564575645756
2005-06-01,42.3,1.6857564575645756
2005-07-01,42.3,1.6857564575645756
2005-08-01,42.3,1.6857564575645756
2005-09-01,42.3,1.6857564575645756
2005-10-01,0.0,0.0
2005-11-01,1.1,0.04383763837638377
2005-12-01,2.4,0.09564575645756458
2006-01-01,6.1,0.24309963099630996
2006-02-01,9.1,0.3626568265682657
2006-03-01,10.2,0.4064944649446494
2006-04-01,18.1,0.7213284132841329
2006-05-01,18.1,0.7213284132841329
2006-06-01,18.1,0.7213284132841329
2006-07-01,18.1,0.7213284132841329
2006-08-01,18.1,0.7213284132841329
2006-09-01,18.1,0.7213284132841329
2006-10-01,0.2,0.007970479704797048
2006-11-01,2.9,0.1155719557195572
2006-12-01,5.7,0.22715867158671588
2007-01-01,8.8,0.35070110701107016
2007-02-01,11.5,0.45830258302583027
2007-03-01,16.1,0.6416236162361625
2007-04-01,19.7,0.7850922509225092
2007-05-01,19.7,0.7850922509225092
2007-06-01,19.7,0.7850922509225092
2007-07-01,19.7,0.7850922509225092
2007-08-01,19.7,0.7850922509225092
2007-09-01,19.7,0.7850922509225092
2007-10-01,0.0,0.0
2007-11-01,0.0,0.0
2007-12-01,4.3,0.17136531365313654
2008-01-01,13.6,0.5419926199261993
2008-02-01,23.9,0.9524723247232472
2008-03-01,32.1,1.2792619926199262
2008-04-01,33.1,1.3191143911439116
2008-05-01,33.1,1.3191143911439116
2008-06-01,33.1,1.3191143911439116
2008-07-01,33.1,1.3191143911439116
2008-08-01,33.1,1.3191143911439116
2008-09-01,33.1,1.3191143911439116
2008-10-01,0.0,0.0
2008-11-01,1.1,0.04383763837638377
2008-12-01,4.9,0.1952767527675277
2009-01-01,15.0,0.5977859778597786
2009-02-01,17.9,0.7133579335793357
2009-03-01,21.6,0.8608118081180812
2009-04-01,23.8,0.9484870848708488
2009-05-01,23.8,0.9484870848708488
2009-06-01,23.8,0.9484870848708488
2009-07-01,23.8,0.9484870848708488
2009-08-01,23.8,0.9484870848708488
2009-09-01,23.8,0.9484870848708488
2009-10-01,0.0,0.0
2009-11-01,1.2,0.04782287822878229
2009-12-01,2.6,0.10361623616236162
2010-01-01,9.4,0.3746125461254613
2010-02-01,16.8,0.6695202952029521
2010-03-01,21.4,0.8528413284132841
2010-04-01,25.2,1.004280442804428
2010-05-01,25.2,1.004280442804428
2010-06-01,25.2,1.004280442804428
2010-07-01,25.2,1.004280442804428
2010-08-01,25.2,1.004280442804428
2010-09-01,25.2,1.004280442804428
2010-10-01,0.0,0.0
2010-11-01,2.9,0.1155719557195572
2010-12-01,6.3,0.251070110701107
2011-01-01,17.4,0.6934317343173432
2011-02-01,18.3,0.7292988929889299
2011-03-01,21.4,0.8528413284132841
2011-04-01,24.0,0.9564575645756458
2011-05-01,26.1,1.040147601476015
2011-06-01,26.1,1.040147601476015
2011-07-01,26.1,1.040147601476015
2011-08-01,26.1,1.040147601476015
2011-09-01,26.1,1.040147601476015
2011-10-01,0.0,0.0
2011-11-01,3.4,0.13549815498154982
2011-12-01,6.0,0.23911439114391145
2012-01-01,9.9,0.3945387453874539
2012-02-01,14.0,0.5579335793357934
2012-03-01,21.2,0.844870848708487
2012-04-01,23.2,0.9245756457564576
2012-05-01,23.2,0.9245756457564576
2012-06-01,23.2,0.9245756457564576
2012-07-01,23.2,0.9245756457564576
2012-08-01,23.2,0.9245756457564576
2012-09-01,23.2,0.9245756457564576
2012-10-01,0.0,0.0
2012-11-01,0.0,0.0
2012-12-01,1.9,0.07571955719557195
2013-01-01,6.2,0.2470848708487085
2013-02-01,12.2,0.4861992619926199
2013-03-01,14.1,0.5619188191881919
2013-04-01,17.1,0.6814760147601476
2013-05-01,17.1,0.6814760147601476
2013-06-01,17.1,0.6814760147601476
2013-07-01,17.1,0.6814760147601476
2013-08-01,17.1,0.6814760147601476
2013-09-01,17.1,0.6814760147601476
2013-10-01,0.0,0.0
2013-11-01,3.0,0.11955719557195572
2013-12-01,8.5,0.33874538745387456
2014-01-01,9.8,0.3905535055350554
2014-02-01,13.2,0.5260516605166051
2014-03-01,16.5,0.6575645756457564
2014-04-01,19.5,0.7771217712177122
2014-05-01,19.5,0.7771217712177122
2014-06-01,19.5,0.7771217712177122
2014-07-01,19.5,0.7771217712177122
2014-08-01,19.5,0.7771217712177122
2014-09-01,19.5,0.7771217712177122
2014-10-01,0.0,0.0
2014-11-01,0.1,0.003985239852398524
2014-12-01,3.9,0.15542435424354245
2015-01-01,7.8,0.3108487084870849
2015-02-01,10.7,0.42642066420664204
2015-03-01,14.4,0.5738745387453875
2015-04-01,15.9,0.6336531365313653
2015-05-01,15.9,0.6336531365313653
2015-06-01,15.9,0.6336531365313653
2015-07-01,15.9,0.6336531365313653
2015-08-01,15.9,0.6336531365313653
2015-09-01,15.9,0.6336531365313653
2015-10-01,0.0,0.0
2015-11-01,0.8,0.03188191881918819
2015-12-01,4.9,0.1952767527675277
2016-01-01,11.0,0.43837638376383764
2016-02-01,16.5,0.6575645756457564
2016-03-01,18.3,0.7292988929889299
2016-04-01,20.7,0.8249446494464945
2016-05-01,22.1,0.8807380073800739
2016-06-01,22.1,0.8807380073800739
2016-07-01,22.1,0.8807380073800739
2016-08-01,22.1,0.8807380073800739
2016-09-01,22.1,0.8807380073800739
2016-10-01,0.0,0.0
2016-11-01,0.0,0.0
2016-12-01,4.5,0.1793357933579336
2017-01-01,12.7,0.5061254612546126
2017-02-01,26.6,1.0600738007380075
2017-03-01,31.6,1.2593357933579337
2017-04-01,34.9,1.3908487084870849
2017-05-01,34.9,1.3908487084870849
2017-06-01,34.9,1.3908487084870849
2017-07-01,34.9,1.3908487084870849
2017-08-01,34.9,1.3908487084870849
2017-09-01,34.9,1.3908487084870849
2017-10-01,0.0,0.0
2017-11-01,0.4,0.015940959409594096
2017-12-01,1.7,0.06774907749077491
2018-01-01,2.4,0.09564575645756458
2018-02-01,4.9,0.1952767527675277
2018-03-01,8.5,0.33874538745387456
2018-04-01,10.7,0.42642066420664204
2018-05-01,10.7,0.42642066420664204
2018-06-01,10.7,0.42642066420664204
2018-07-01,10.7,0.42642066420664204
2018-08-01,10.7,0.42642066420664204
2018-09-01,10.7,0.42642066420664204
2018-10-01,0.0,0.0
2018-11-01,5.0,0.19926199261992622
2018-12-01,6.3,0.251070110701107
2019-01-01,9.1,0.3626568265682657
2019-02-01,16.0,0.6376383763837639
2019-03-01,27.5,1.0959409594095941
2019-04-01,41.6,1.657859778597786
2019-05-01,41.6,1.657859778597786
2019-06-01,42.5,1.6937269372693728
2019-07-01,42.5,1.6937269372693728
2019-08-01,42.5,1.6937269372693728
2019-09-01,42.5,1.6937269372693728
2019-10-01,0.0,0.0
2019-11-01,0.3,0.011955719557195573
2019-12-01,6.1,0.24309963099630996
2020-01-01,14.4,0.5738745387453875
2020-02-01,17.1,0.6814760147601476
2020-03-01,18.2,0.7253136531365314
2020-04-01,24.3,0.9684132841328414
2020-05-01,24.3,0.9684132841328414
2020-06-01,24.3,0.9684132841328414
2020-07-01,24.3,0.9684132841328414
2020-08-01,24.3,0.9684132841328414
2020-09-01,24.3,0.9684132841328414
2020-10-01,0.0,0.0
2020-11-01,0.2,0.007970479704797048
2020-12-01,2.8,0.11158671586715867
2021-01-01,5.5,0.21918819188191882
2021-02-01,9.0,0.3586715867158672
2021-03-01,11.8,0.47025830258302587
2021-04-01,16.2,0.6456088560885609
2021-05-01,16.2,0.6456088560885609
2021-06-01,16.2,0.6456088560885609
2021-07-01,16.2,0.6456088560885609
2021-08-01,16.2,0.6456088560885609
2021-09-01,16.2,0.6456088560885609
