,05J15,718,basinwide_average
1961-03-01,0.0,-999.0,0.0
1961-04-01,8.8,-999.0,0.817864979992255
1961-05-01,10.1,-999.0,0.9386859429456563
1961-06-01,10.1,-999.0,0.9386859429456563
1961-07-01,10.1,-999.0,0.9386859429456563
1961-08-01,10.1,-999.0,0.9386859429456563
1961-09-01,10.1,-999.0,0.9386859429456563
1961-10-01,0.0,-999.0,0.0
1961-11-01,0.0,-999.0,0.0
1961-12-01,0.0,-999.0,0.0
1962-01-01,0.0,-999.0,0.0
1962-02-01,0.0,-999.0,0.0
1962-03-01,0.0,-999.0,0.0
1962-04-01,15.8,-999.0,1.4684393958951851
1962-05-01,15.8,-999.0,1.4684393958951851
1962-06-01,15.8,-999.0,1.4684393958951851
1962-07-01,15.8,-999.0,1.4684393958951851
1962-08-01,15.8,-999.0,1.4684393958951851
1962-09-01,15.8,-999.0,1.4684393958951851
1962-10-01,0.0,-999.0,0.0
1962-11-01,0.0,-999.0,0.0
1962-12-01,0.0,-999.0,0.0
1963-01-01,0.0,-999.0,0.0
1963-02-01,0.0,-999.0,0.0
1963-03-01,0.0,-999.0,0.0
1963-04-01,7.1,-999.0,0.6598683361301149
1963-05-01,7.1,-999.0,0.6598683361301149
1963-06-01,7.1,-999.0,0.6598683361301149
1963-07-01,7.1,-999.0,0.6598683361301149
1963-08-01,7.1,-999.0,0.6598683361301149
1963-09-01,7.1,-999.0,0.6598683361301149
1963-10-01,0.0,-999.0,0.0
1963-11-01,0.0,-999.0,0.0
1963-12-01,0.0,-999.0,0.0
1964-01-01,0.0,-999.0,0.0
1964-02-01,0.0,-999.0,0.0
1964-03-01,4.0,-999.0,0.3717568090873886
1964-04-01,4.0,-999.0,0.3717568090873886
1964-05-01,13.2,-999.0,1.2267974699883826
1964-06-01,13.2,-999.0,1.2267974699883826
1964-07-01,13.2,-999.0,1.2267974699883826
1964-08-01,13.2,-999.0,1.2267974699883826
1964-09-01,13.2,-999.0,1.2267974699883826
1964-10-01,0.0,-999.0,0.0
1964-11-01,0.0,-999.0,0.0
1964-12-01,0.0,-999.0,0.0
1965-01-01,0.0,-999.0,0.0
1965-02-01,0.0,-999.0,0.0
1965-03-01,0.0,-999.0,0.0
1965-04-01,14.4,-999.0,1.338324512714599
1965-05-01,14.4,-999.0,1.338324512714599
1965-06-01,14.4,-999.0,1.338324512714599
1965-07-01,14.4,-999.0,1.338324512714599
1965-08-01,14.4,-999.0,1.338324512714599
1965-09-01,14.4,-999.0,1.338324512714599
1965-10-01,0.0,-999.0,0.0
1965-11-01,0.0,-999.0,0.0
1965-12-01,0.0,-999.0,0.0
1966-01-01,0.0,-999.0,0.0
1966-02-01,0.0,-999.0,0.0
1966-03-01,0.0,-999.0,0.0
1966-04-01,5.6,-999.0,0.520459532722344
1966-05-01,5.8,-999.0,0.5390473731767135
1966-06-01,5.8,-999.0,0.5390473731767135
1966-07-01,5.8,-999.0,0.5390473731767135
1966-08-01,5.8,-999.0,0.5390473731767135
1966-09-01,5.8,-999.0,0.5390473731767135
1966-10-01,0.0,-999.0,0.0
1966-11-01,0.0,-999.0,0.0
1966-12-01,0.0,-999.0,0.0
1967-01-01,0.0,-999.0,0.0
1967-02-01,0.0,-999.0,0.0
1967-03-01,0.0,-999.0,0.0
1967-04-01,8.1,-999.0,0.752807538401962
1967-05-01,9.9,-999.0,0.9200981024912869
1967-06-01,9.9,-999.0,0.9200981024912869
1967-07-01,9.9,-999.0,0.9200981024912869
1967-08-01,9.9,-999.0,0.9200981024912869
1967-09-01,9.9,-999.0,0.9200981024912869
1967-10-01,0.0,-999.0,0.0
1967-11-01,0.0,-999.0,0.0
1967-12-01,0.0,-999.0,0.0
1968-01-01,0.0,-999.0,0.0
1968-02-01,0.0,-999.0,0.0
1968-03-01,0.0,-999.0,0.0
1968-04-01,10.4,-999.0,0.9665677036272106
1968-05-01,12.8,-999.0,1.1896217890796437
1968-06-01,12.8,-999.0,1.1896217890796437
1968-07-01,12.8,-999.0,1.1896217890796437
1968-08-01,12.8,-999.0,1.1896217890796437
1968-09-01,12.8,-999.0,1.1896217890796437
1968-10-01,0.0,-999.0,0.0
1968-11-01,0.0,-999.0,0.0
1968-12-01,0.0,-999.0,0.0
1969-01-01,0.0,-999.0,0.0
1969-02-01,0.0,-999.0,0.0
1969-03-01,0.0,-999.0,0.0
1969-04-01,10.2,-999.0,0.947979863172841
1969-05-01,10.2,-999.0,0.947979863172841
1969-06-01,10.2,-999.0,0.947979863172841
1969-07-01,10.2,-999.0,0.947979863172841
1969-08-01,10.2,-999.0,0.947979863172841
1969-09-01,10.2,-999.0,0.947979863172841
1969-10-01,0.0,-999.0,0.0
1969-11-01,0.0,-999.0,0.0
1969-12-01,0.0,-999.0,0.0
1970-01-01,0.0,-999.0,0.0
1970-02-01,0.0,-999.0,0.0
1970-03-01,0.0,-999.0,0.0
1970-04-01,15.3,-999.0,1.4219697947592616
1970-05-01,15.3,-999.0,1.4219697947592616
1970-06-01,15.3,-999.0,1.4219697947592616
1970-07-01,15.3,-999.0,1.4219697947592616
1970-08-01,15.3,-999.0,1.4219697947592616
1970-09-01,15.3,-999.0,1.4219697947592616
1970-10-01,0.0,-999.0,0.0
1970-11-01,0.0,-999.0,0.0
1970-12-01,0.0,-999.0,0.0
1971-01-01,0.0,-999.0,0.0
1971-02-01,0.0,-999.0,0.0
1971-03-01,0.0,-999.0,0.0
1971-04-01,13.4,-999.0,1.245385310442752
1971-05-01,13.4,-999.0,1.245385310442752
1971-06-01,13.4,-999.0,1.245385310442752
1971-07-01,13.4,-999.0,1.245385310442752
1971-08-01,13.4,-999.0,1.245385310442752
1971-09-01,13.4,-999.0,1.245385310442752
1971-10-01,0.0,-999.0,0.0
1971-11-01,0.0,-999.0,0.0
1971-12-01,0.0,-999.0,0.0
1972-01-01,0.0,-999.0,0.0
1972-02-01,0.0,-999.0,0.0
1972-03-01,0.0,-999.0,0.0
1972-04-01,11.1,-999.0,1.0316251452175034
1972-05-01,11.1,-999.0,1.0316251452175034
1972-06-01,11.1,-999.0,1.0316251452175034
1972-07-01,11.1,-999.0,1.0316251452175034
1972-08-01,11.1,-999.0,1.0316251452175034
1972-09-01,11.1,-999.0,1.0316251452175034
1972-10-01,0.0,-999.0,0.0
1972-11-01,0.0,-999.0,0.0
1972-12-01,0.0,-999.0,0.0
1973-01-01,0.0,-999.0,0.0
1973-02-01,0.0,-999.0,0.0
1973-03-01,0.0,-999.0,0.0
1973-04-01,12.3,-999.0,1.14315218794372
1973-05-01,13.9,-999.0,1.2918549115786755
1973-06-01,13.9,-999.0,1.2918549115786755
1973-07-01,13.9,-999.0,1.2918549115786755
1973-08-01,13.9,-999.0,1.2918549115786755
1973-09-01,13.9,-999.0,1.2918549115786755
1973-10-01,0.0,-999.0,0.0
1973-11-01,0.0,-999.0,0.0
1973-12-01,0.0,-999.0,0.0
1974-01-01,0.0,-999.0,0.0
1974-02-01,0.0,-999.0,0.0
1974-03-01,0.0,-999.0,0.0
1974-04-01,12.2,-999.0,1.1338582677165352
1974-05-01,13.5,-999.0,1.2546792306699366
1974-06-01,13.5,-999.0,1.2546792306699366
1974-07-01,13.5,-999.0,1.2546792306699366
1974-08-01,13.5,-999.0,1.2546792306699366
1974-09-01,13.5,-999.0,1.2546792306699366
1974-10-01,0.0,-999.0,0.0
1974-11-01,0.0,-999.0,0.0
1974-12-01,0.0,-999.0,0.0
1975-01-01,0.0,-999.0,0.0
1975-02-01,0.0,-999.0,0.0
1975-03-01,0.0,-999.0,0.0
1975-04-01,11.1,-999.0,1.0316251452175034
1975-05-01,11.1,-999.0,1.0316251452175034
1975-06-01,11.1,-999.0,1.0316251452175034
1975-07-01,11.1,-999.0,1.0316251452175034
1975-08-01,11.1,-999.0,1.0316251452175034
1975-09-01,11.1,-999.0,1.0316251452175034
1975-10-01,0.0,-999.0,0.0
1975-11-01,0.0,-999.0,0.0
1975-12-01,0.0,-999.0,0.0
1976-01-01,0.0,-999.0,0.0
1976-02-01,0.0,-999.0,0.0
1976-03-01,0.0,-999.0,0.0
1976-04-01,11.3,-999.0,1.050212985671873
1976-05-01,11.3,-999.0,1.050212985671873
1976-06-01,11.3,-999.0,1.050212985671873
1976-07-01,11.3,-999.0,1.050212985671873
1976-08-01,11.3,-999.0,1.050212985671873
1976-09-01,11.3,-999.0,1.050212985671873
1976-10-01,0.0,-999.0,0.0
1976-11-01,0.0,-999.0,0.0
1976-12-01,0.0,-999.0,0.0
1977-01-01,0.0,-999.0,0.0
1977-02-01,0.0,-999.0,0.0
1977-03-01,0.0,-999.0,0.0
1977-04-01,5.6,-999.0,0.520459532722344
1977-05-01,5.6,-999.0,0.520459532722344
1977-06-01,5.6,-999.0,0.520459532722344
1977-07-01,5.6,-999.0,0.520459532722344
1977-08-01,5.6,-999.0,0.520459532722344
1977-09-01,5.6,-999.0,0.520459532722344
1977-10-01,0.0,-999.0,0.0
1977-11-01,0.0,-999.0,0.0
1977-12-01,0.0,-999.0,0.0
1978-01-01,0.0,-999.0,0.0
1978-02-01,0.0,-999.0,0.0
1978-03-01,0.0,-999.0,0.0
1978-04-01,12.6,-999.0,1.171033948625274
1978-05-01,12.6,-999.0,1.171033948625274
1978-06-01,12.6,-999.0,1.171033948625274
1978-07-01,12.6,-999.0,1.171033948625274
1978-08-01,12.6,-999.0,1.171033948625274
1978-09-01,12.6,-999.0,1.171033948625274
1978-10-01,0.0,-999.0,0.0
1978-11-01,0.0,-999.0,0.0
1978-12-01,0.0,-999.0,0.0
1979-01-01,0.0,-999.0,0.0
1979-02-01,0.0,-999.0,0.0
1979-03-01,0.0,-999.0,0.0
1979-04-01,15.0,-999.0,1.3940880340777073
1979-05-01,15.0,-999.0,1.3940880340777073
1979-06-01,15.0,-999.0,1.3940880340777073
1979-07-01,15.0,-999.0,1.3940880340777073
1979-08-01,15.0,-999.0,1.3940880340777073
1979-09-01,15.0,-999.0,1.3940880340777073
1979-10-01,0.0,-999.0,0.0
1979-11-01,0.0,-999.0,0.0
1979-12-01,0.0,-999.0,0.0
1980-01-01,0.0,-999.0,0.0
1980-02-01,0.0,-999.0,0.0
1980-03-01,0.0,-999.0,0.0
1980-04-01,14.1,-999.0,1.3104427520330448
1980-05-01,14.1,-999.0,1.3104427520330448
1980-06-01,14.1,-999.0,1.3104427520330448
1980-07-01,14.1,-999.0,1.3104427520330448
1980-08-01,14.1,-999.0,1.3104427520330448
1980-09-01,14.1,0.0,0.6552213760165224
1980-10-01,0.0,0.0,0.0
1980-11-01,0.0,2.3,0.06655642827614716
1980-12-01,0.0,3.4,0.09838776353865233
1981-01-01,0.0,4.6,0.13311285655229432
1981-02-01,0.0,4.8,0.138900372054568
1981-03-01,0.0,8.1,0.2343943778420835
1981-04-01,4.2,11.6,0.5308482239027517
1981-05-01,4.2,11.6,0.5308482239027517
1981-06-01,4.2,11.6,0.5308482239027517
1981-07-01,4.2,11.6,0.5308482239027517
1981-08-01,4.2,11.6,0.5308482239027517
1981-09-01,4.2,11.6,0.5308482239027517
1981-10-01,0.0,0.0,0.0
1981-11-01,0.0,1.1,0.03183133526250517
1981-12-01,0.0,3.0,0.086812732534105
1982-01-01,0.0,8.3,0.2401818933443572
1982-02-01,0.0,12.7,0.3675072343943778
1982-03-01,0.0,14.2,0.41091360066143034
1982-04-01,10.2,18.1,0.9977600845421875
1982-05-01,10.2,18.5,1.0093351155467347
1982-06-01,10.2,18.5,1.0093351155467347
1982-07-01,10.2,18.5,1.0093351155467347
1982-08-01,10.2,18.5,1.0093351155467347
1982-09-01,10.2,18.5,1.0093351155467347
1982-10-01,0.0,0.0,0.0
1982-11-01,0.0,0.9,0.026043819760231502
1982-12-01,0.0,3.3,0.0954940057875155
1983-01-01,0.0,6.7,0.19388176932616785
1983-02-01,0.0,8.7,0.2517569243489045
1983-03-01,0.0,10.8,0.31252583712277804
1983-04-01,11.8,19.1,1.1010490238710333
1983-05-01,13.3,25.7,1.3617414371499499
1983-06-01,13.3,26.7,1.3906790146613182
1983-07-01,13.3,26.7,1.3906790146613182
1983-08-01,13.3,26.7,1.3906790146613182
1983-09-01,13.3,26.7,1.3906790146613182
1983-10-01,0.0,0.0,0.0
1983-11-01,0.0,0.0,0.0
1983-12-01,0.0,6.9,0.1996692848284415
1984-01-01,0.0,12.6,0.364613476643241
1984-02-01,0.0,13.8,0.399338569656883
1984-03-01,0.0,15.8,0.4572137246796197
1984-04-01,12.4,19.6,1.1433995733082718
1984-05-01,14.9,23.6,1.375323886193554
1984-06-01,14.9,23.6,1.375323886193554
1984-07-01,14.9,23.6,1.375323886193554
1984-08-01,14.9,23.6,1.375323886193554
1984-09-01,14.9,23.6,1.375323886193554
1984-10-01,0.0,0.0,0.0
1984-11-01,0.0,2.3,0.06655642827614716
1984-12-01,0.0,5.2,0.15047540305911533
1985-01-01,0.0,8.7,0.2517569243489045
1985-02-01,0.0,10.5,0.30384456386936753
1985-03-01,0.0,12.3,0.3559322033898305
1985-04-01,8.2,16.1,0.8469457272476035
1985-05-01,8.2,16.5,0.8585207582521508
1985-06-01,8.2,16.5,0.8585207582521508
1985-07-01,8.2,16.5,0.8585207582521508
1985-08-01,8.2,16.5,0.8585207582521508
1985-09-01,8.2,16.5,0.8585207582521508
1985-10-01,0.0,0.8,0.02315006200909467
1985-11-01,0.0,2.0,0.05787515502273667
1985-12-01,0.0,11.7,0.3385696568830095
1986-01-01,0.0,14.3,0.4138073584125672
1986-02-01,0.0,15.4,0.44563869367507236
1986-03-01,0.0,23.8,0.6887143447705664
1986-04-01,13.1,26.7,1.3813850944341333
1986-05-01,13.1,29.0,1.4479415227102805
1986-06-01,13.1,29.0,1.4479415227102805
1986-07-01,13.1,29.0,1.4479415227102805
1986-08-01,13.1,29.0,1.4479415227102805
1986-09-01,13.1,29.0,1.4479415227102805
1986-10-01,0.0,1.3,0.03761885076477883
1986-11-01,0.0,2.7,0.07813145928069451
1986-12-01,0.0,5.6,0.16205043406366265
1987-01-01,0.0,7.0,0.20256304257957833
1987-02-01,0.0,8.3,0.2401818933443572
1987-03-01,0.0,9.5,0.27490698635799915
1987-04-01,6.0,11.6,0.6144935059474141
1987-05-01,6.0,11.6,0.6144935059474141
1987-06-01,6.0,11.6,0.6144935059474141
1987-07-01,6.0,11.6,0.6144935059474141
1987-08-01,6.0,11.6,0.6144935059474141
1987-09-01,6.0,11.6,0.6144935059474141
1987-10-01,0.0,0.0,0.0
1987-11-01,0.0,0.0,0.0
1987-12-01,0.0,2.4,0.069450186027284
1988-01-01,0.0,7.2,0.20835055808185202
1988-02-01,0.0,11.4,0.32988838362959905
1988-03-01,0.0,14.0,0.40512608515915666
1988-04-01,12.5,18.1,1.1046401671548116
1988-05-01,12.5,18.1,1.1046401671548116
1988-06-01,12.5,18.1,1.1046401671548116
1988-07-01,12.5,18.1,1.1046401671548116
1988-08-01,12.5,18.1,1.1046401671548116
1988-09-01,12.5,18.1,1.1046401671548116
1988-10-01,0.0,0.0,0.0
1988-11-01,0.0,0.0,0.0
1988-12-01,0.0,2.8,0.08102521703183133
1989-01-01,0.0,5.5,0.15915667631252584
1989-02-01,0.0,8.0,0.23150062009094668
1989-03-01,0.0,10.9,0.31541959487391485
1989-04-01,7.8,14.0,0.7675889740193607
1989-05-01,7.8,14.0,0.7675889740193607
1989-06-01,7.8,14.0,0.7675889740193607
1989-07-01,7.8,14.0,0.7675889740193607
1989-08-01,7.8,14.0,0.7675889740193607
1989-09-01,7.8,14.0,0.7675889740193607
1989-10-01,0.0,0.0,0.0
1989-11-01,0.0,0.9,0.026043819760231502
1989-12-01,0.0,3.9,0.1128565522943365
1990-01-01,0.0,6.9,0.1996692848284415
1990-02-01,0.0,9.4,0.27201322860686233
1990-03-01,0.0,13.0,0.37618850764778833
1990-04-01,11.4,18.1,1.0535236059052957
1990-05-01,11.4,18.1,1.0535236059052957
1990-06-01,11.4,18.1,1.0535236059052957
1990-07-01,11.4,18.1,1.0535236059052957
1990-08-01,11.4,18.1,1.0535236059052957
1990-09-01,11.4,18.1,1.0535236059052957
1990-10-01,0.0,0.0,0.0
1990-11-01,0.0,1.9,0.054981397271599834
1990-12-01,0.0,3.4,0.09838776353865233
1991-01-01,0.0,6.4,0.18520049607275735
1991-02-01,0.0,8.7,0.2517569243489045
1991-03-01,0.0,10.4,0.30095080611823066
1991-04-01,8.7,15.0,0.8383491925530602
1991-05-01,8.7,17.6,0.913586894082618
1991-06-01,8.7,17.6,0.913586894082618
1991-07-01,8.7,17.6,0.913586894082618
1991-08-01,8.7,17.6,0.913586894082618
1991-09-01,8.7,17.6,0.913586894082618
1991-10-01,0.0,0.0,0.0
1991-11-01,0.0,0.3,0.0086812732534105
1991-12-01,0.0,4.3,0.12443158329888383
1992-01-01,0.0,5.4,0.15626291856138902
1992-02-01,0.0,8.3,0.2401818933443572
1992-03-01,0.0,9.8,0.2835882596114097
1992-04-01,7.2,13.2,0.7165571513287118
1992-05-01,7.2,13.2,0.7165571513287118
1992-06-01,7.2,13.2,0.7165571513287118
1992-07-01,7.2,13.2,0.7165571513287118
1992-08-01,7.2,13.2,0.7165571513287118
1992-09-01,7.2,13.2,0.7165571513287118
1992-10-01,0.0,0.0,0.0
1992-11-01,0.0,0.5,0.014468788755684168
1992-12-01,0.0,4.4,0.1273253410500207
1993-01-01,0.0,7.8,0.225713104588673
1993-02-01,0.0,10.3,0.29805704836709385
1993-03-01,0.0,14.7,0.4253823894171145
1993-04-01,8.4,18.5,0.9256898335020722
1993-05-01,10.8,20.9,1.106667062255573
1993-06-01,10.8,20.9,1.106667062255573
1993-07-01,10.8,20.9,1.106667062255573
1993-08-01,10.8,20.9,1.106667062255573
1993-09-01,10.8,20.9,1.106667062255573
1993-10-01,0.0,0.0,0.0
1993-11-01,0.0,1.3,0.03761885076477883
1993-12-01,0.0,4.6,0.13311285655229432
1994-01-01,0.0,6.6,0.190988011575031
1994-02-01,0.0,8.6,0.24886316659776767
1994-03-01,0.0,12.5,0.3617197188921042
1994-04-01,9.7,14.1,0.8587749739287522
1994-05-01,9.7,14.5,0.8703500049332995
1994-06-01,9.7,14.5,0.8703500049332995
1994-07-01,9.7,14.5,0.8703500049332995
1994-08-01,9.7,14.5,0.8703500049332995
1994-09-01,9.7,14.5,0.8703500049332995
1994-10-01,0.0,0.0,0.0
1994-11-01,0.0,0.4,0.011575031004547334
1994-12-01,0.0,2.5,0.07234394377842084
1995-01-01,0.0,4.1,0.11864406779661016
1995-02-01,0.0,6.5,0.18809425382389416
1995-03-01,0.0,9.1,0.26333195535345183
1995-04-01,6.3,11.3,0.6197531130347806
1995-05-01,7.6,14.5,0.77276384254786
1995-06-01,7.6,19.5,0.9174517301047018
1995-07-01,7.6,19.5,0.9174517301047018
1995-08-01,7.6,19.5,0.9174517301047018
1995-09-01,7.6,19.5,0.9174517301047018
1995-10-01,0.0,0.0,0.0
1995-11-01,0.0,2.0,0.05787515502273667
1995-12-01,0.0,6.1,0.17651922281934682
1996-01-01,0.0,8.2,0.23728813559322032
1996-02-01,0.0,13.6,0.39355105415460934
1996-03-01,0.0,17.3,0.5006200909466721
1996-04-01,14.7,21.1,1.2936860221879485
1996-05-01,14.7,24.0,1.3776049969709168
1996-06-01,14.7,24.0,1.3776049969709168
1996-07-01,14.7,24.0,1.3776049969709168
1996-08-01,14.7,24.0,1.3776049969709168
1996-09-01,14.7,24.0,1.3776049969709168
1996-10-01,0.0,0.0,0.0
1996-11-01,0.0,1.9,0.054981397271599834
1996-12-01,0.0,7.0,0.20256304257957833
1997-01-01,0.0,13.6,0.39355105415460934
1997-02-01,0.0,16.8,0.486151302190988
1997-03-01,0.0,19.6,0.5671765192228194
1997-04-01,10.5,21.7,1.1158762439238905
1997-05-01,12.2,26.5,1.3337749379095285
1997-06-01,12.2,26.5,1.3337749379095285
1997-07-01,12.2,26.5,1.3337749379095285
1997-08-01,12.2,26.5,1.3337749379095285
1997-09-01,12.2,26.5,1.3337749379095285
1997-10-01,0.0,0.0,0.0
1997-11-01,0.0,1.8,0.052087639520463004
1997-12-01,0.0,3.9,0.1128565522943365
1998-01-01,0.0,5.8,0.16783794956593634
1998-02-01,0.0,9.6,0.277800744109136
1998-03-01,0.0,11.7,0.3385696568830095
1998-04-01,7.4,14.6,0.7663636800718121
1998-05-01,7.8,14.8,0.7907390360284553
1998-06-01,7.8,14.8,0.7907390360284553
1998-07-01,7.8,14.8,0.7907390360284553
1998-08-01,7.8,14.8,0.7907390360284553
1998-09-01,7.8,14.8,0.7907390360284553
1998-10-01,0.0,0.0,0.0
1998-11-01,0.0,1.5,0.0434063662670525
1998-12-01,0.0,3.3,0.0954940057875155
1999-01-01,0.0,6.1,0.17651922281934682
1999-02-01,0.0,12.4,0.3588259611409674
1999-03-01,0.0,14.5,0.41959487391484085
1999-04-01,8.4,15.0,0.8244083122122831
1999-05-01,10.2,19.0,1.0238039043024187
1999-06-01,10.2,19.0,1.0238039043024187
1999-07-01,10.2,19.0,1.0238039043024187
1999-08-01,10.2,19.0,1.0238039043024187
1999-09-01,10.2,19.0,1.0238039043024187
1999-10-01,0.0,0.0,0.0
1999-11-01,0.0,0.0,0.0
1999-12-01,0.0,1.2,0.034725093013642
2000-01-01,0.0,4.1,0.11864406779661016
2000-02-01,0.0,8.0,0.23150062009094668
2000-03-01,0.0,11.4,0.32988838362959905
2000-04-01,8.9,14.6,0.8360680817756976
2000-05-01,8.9,14.6,0.8360680817756976
2000-06-01,8.9,14.6,0.8360680817756976
2000-07-01,8.9,14.6,0.8360680817756976
2000-08-01,8.9,14.6,0.8360680817756976
2000-09-01,8.9,14.6,0.8360680817756976
2000-10-01,0.0,0.0,0.0
2000-11-01,0.0,0.6,0.017362546506821
2000-12-01,0.0,2.8,0.08102521703183133
2001-01-01,0.0,6.0,0.17362546506821
2001-02-01,0.0,6.6,0.190988011575031
2001-03-01,0.0,9.8,0.2835882596114097
2001-04-01,6.3,11.7,0.631328144039328
2001-05-01,6.3,13.9,0.6949908145643384
2001-06-01,6.3,13.9,0.6949908145643384
2001-07-01,6.3,13.9,0.6949908145643384
2001-08-01,6.3,13.9,0.6949908145643384
2001-09-01,6.3,13.9,0.6949908145643384
2001-10-01,0.0,0.0,0.0
2001-11-01,0.0,0.3,0.0086812732534105
2001-12-01,0.0,1.9,0.054981397271599834
2002-01-01,0.0,3.3,0.0954940057875155
2002-02-01,0.0,4.8,0.138900372054568
2002-03-01,0.0,6.6,0.190988011575031
2002-04-01,4.7,9.5,0.49331411169684
2002-05-01,4.7,9.5,0.49331411169684
2002-06-01,4.7,9.5,0.49331411169684
2002-07-01,4.7,9.5,0.49331411169684
2002-08-01,4.7,9.5,0.49331411169684
2002-09-01,4.7,9.5,0.49331411169684
2002-10-01,0.0,0.0,0.0
2002-11-01,0.0,1.8,0.052087639520463004
2002-12-01,0.0,4.1,0.11864406779661016
2003-01-01,0.0,5.5,0.15915667631252584
2003-02-01,0.0,7.2,0.20835055808185202
2003-03-01,0.0,10.1,0.29226953286482016
2003-04-01,10.9,17.9,1.0245012898350603
2003-05-01,10.9,18.3,1.0360763208396075
2003-06-01,10.9,18.3,1.0360763208396075
2003-07-01,10.9,18.3,1.0360763208396075
2003-08-01,10.9,18.3,1.0360763208396075
2003-09-01,10.9,18.3,1.0360763208396075
2003-10-01,0.0,0.0,0.0
2003-11-01,0.0,0.4,0.011575031004547334
2003-12-01,0.0,5.5,0.15915667631252584
2004-01-01,0.0,8.2,0.23728813559322032
2004-02-01,0.0,10.2,0.295163290615957
2004-03-01,0.0,12.7,0.3675072343943778
2004-04-01,6.0,12.8,0.6492185989610562
2004-05-01,6.0,13.9,0.6810499342235613
2004-06-01,6.0,13.9,0.6810499342235613
2004-07-01,6.0,13.9,0.6810499342235613
2004-08-01,6.0,13.9,0.6810499342235613
2004-09-01,6.0,13.9,0.6810499342235613
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,1.2,0.034725093013642
2004-12-01,0.0,3.3,0.0954940057875155
2005-01-01,0.0,5.8,0.16783794956593634
2005-02-01,0.0,9.6,0.277800744109136
2005-03-01,0.0,12.0,0.34725093013642
2005-04-01,8.0,14.2,0.782670409748819
2005-05-01,8.0,14.9,0.8029267140067768
2005-06-01,8.0,14.9,0.8029267140067768
2005-07-01,8.0,14.9,0.8029267140067768
2005-08-01,8.0,14.9,0.8029267140067768
2005-09-01,8.0,14.9,0.8029267140067768
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,1.0,0.028937577511368336
2005-12-01,0.0,4.2,0.121537825547747
2006-01-01,0.0,8.4,0.243075651095494
2006-02-01,0.0,10.6,0.30673832162050435
2006-03-01,0.0,12.4,0.3588259611409674
2006-04-01,11.2,16.7,1.0037170771621953
2006-05-01,11.2,16.7,1.0037170771621953
2006-06-01,11.2,16.7,1.0037170771621953
2006-07-01,11.2,16.7,1.0037170771621953
2006-08-01,11.2,16.7,1.0037170771621953
2006-09-01,11.2,16.7,1.0037170771621953
2006-10-01,0.0,0.0,0.0
2006-11-01,0.0,3.7,0.10706903679206284
2006-12-01,0.0,5.4,0.15626291856138902
2007-01-01,0.0,9.3,0.2691194708557255
2007-02-01,0.0,11.5,0.33278214138073586
2007-03-01,0.0,14.0,0.40512608515915666
2007-04-01,9.8,16.9,0.9444471510741759
2007-05-01,9.8,18.2,0.9820660018389548
2007-06-01,9.8,18.2,0.9820660018389548
2007-07-01,9.8,18.2,0.9820660018389548
2007-08-01,9.8,18.2,0.9820660018389548
2007-09-01,9.8,18.2,0.9820660018389548
2007-10-01,0.0,0.0,0.0
2007-11-01,0.0,1.9,0.054981397271599834
2007-12-01,0.0,3.1,0.08970649028524184
2008-01-01,0.0,8.7,0.2517569243489045
2008-02-01,0.0,12.8,0.3704009921455147
2008-03-01,10.4,16.4,0.9578601230000459
2008-04-01,13.0,19.4,1.165493818487552
2008-05-01,13.0,19.7,1.1741750917409628
2008-06-01,13.0,19.7,1.1741750917409628
2008-07-01,13.0,19.7,1.1741750917409628
2008-08-01,13.0,19.7,1.1741750917409628
2008-09-01,13.0,19.7,1.1741750917409628
2008-10-01,0.0,0.0,0.0
2008-11-01,0.0,1.1,0.03183133526250517
2008-12-01,0.0,2.5,0.07234394377842084
2009-01-01,0.0,6.9,0.1996692848284415
2009-02-01,0.0,11.2,0.3241008681273253
2009-03-01,0.0,13.2,0.381976023150062
2009-04-01,8.3,14.7,0.8110800788452802
2009-05-01,9.6,18.0,0.9669845661094965
2009-06-01,9.6,18.0,0.9669845661094965
2009-07-01,9.6,18.0,0.9669845661094965
2009-08-01,9.6,18.0,0.9669845661094965
2009-09-01,9.6,18.0,0.9669845661094965
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,3.6,0.10417527904092601
2009-12-01,0.0,4.9,0.14179412980570485
2010-01-01,0.0,8.6,0.24886316659776767
2010-02-01,0.0,10.5,0.30384456386936753
2010-03-01,0.0,12.9,0.3732947498966515
2010-04-01,10.4,16.0,0.9462850919954986
2010-05-01,10.9,20.2,1.0910577181112073
2010-06-01,10.9,20.2,1.0910577181112073
2010-07-01,10.9,20.2,1.0910577181112073
2010-08-01,10.9,20.2,1.0910577181112073
2010-09-01,10.9,20.2,1.0910577181112073
2010-10-01,0.0,0.0,0.0
2010-11-01,0.0,2.1,0.0607689127738735
2010-12-01,0.0,6.1,0.17651922281934682
2011-01-01,0.0,11.2,0.3241008681273253
2011-02-01,0.0,13.6,0.39355105415460934
2011-03-01,0.0,17.4,0.503513848697809
2011-04-01,14.4,21.2,1.2826388995983082
2011-05-01,18.5,28.2,1.6757273068351735
2011-06-01,18.5,28.2,1.6757273068351735
2011-07-01,18.5,28.2,1.6757273068351735
2011-08-01,18.5,28.2,1.6757273068351735
2011-09-01,18.5,28.2,1.6757273068351735
